dataset,subject,decoder,n_trials,accuracy_all,mean_confidence,ece,brier
Cho2017,1,LDA,70,0.5571428571428572,0.5955102006822953,0.05534914597972908,0.4768943740498862
Cho2017,1,ensemble,70,0.6571428571428571,0.5911986100514185,0.06594424709143838,0.4471732912050552
