Subject,LDA Acc,SVM Acc,RF Acc,Best Single,Best Single Acc,Ablation: LDA+SVM+RF (global) Conf Acc @ 0.6,Ablation: LDA+SVM+RF (global) Coverage @ 0.6,Ablation: LDA+SVM+RF (global) (Conf - Best) @ 0.6,LDA_SVM_RF_global_debounced_grid Conf Acc @ 0.6,LDA_SVM_RF_global_debounced_grid Coverage @ 0.6,LDA_SVM_RF_global_debounced_grid (Conf - Best) @ 0.6,LDA_SVM_baseline_subject_debounced_grid Conf Acc @ 0.6,LDA_SVM_baseline_subject_debounced_grid Coverage @ 0.6,LDA_SVM_baseline_subject_debounced_grid (Conf - Best) @ 0.6,Main: LDA+SVM (equal) Conf Acc @ 0.6,Main: LDA+SVM (equal) Coverage @ 0.6,Main: LDA+SVM (equal) (Conf - Best) @ 0.6,Main: LDA+SVM (subj-weights) Conf Acc @ 0.6,Main: LDA+SVM (subj-weights) Coverage @ 0.6,Main: LDA+SVM (subj-weights) (Conf - Best) @ 0.6,Stacking: LDA+SVM (meta-learner) Conf Acc @ 0.6,Stacking: LDA+SVM (meta-learner) Coverage @ 0.6,Stacking: LDA+SVM (meta-learner) (Conf - Best) @ 0.6
S1,0.6802177858439202,0.4898366606170599,0.7707199032062917,RF,0.7707199032062917,0.845,0.6944444444444444,0.07428009679370828,0.3846153846153846,0.0451388888888888,-0.3861045185909071,0.2342342342342342,0.3854166666666667,-0.5364856689720575,0.7982062780269058,0.7743055555555556,0.027486374820614112,0.7549407114624506,0.8784722222222222,-0.015779191743841126,0.7798165137614679,0.7569444444444444,0.009096610555176188
S2,0.5171203871748337,0.4169388989715668,0.5762250453720508,RF,0.5762250453720508,0.7803030303030303,0.4583333333333333,0.2040779849309795,0.3333333333333333,0.0104166666666666,-0.24289171203871746,0.1944444444444444,0.25,-0.38178060092760635,0.7819548872180451,0.4618055555555556,0.2057298418459943,0.5777777777777777,0.78125,0.0015527324057269531,0.7894736842105263,0.3298611111111111,0.21324863883847556
S3,0.7254688445251058,0.4483363581367211,0.7878402903811252,RF,0.7878402903811252,0.900497512437811,0.6979166666666666,0.11265722205668571,0.3529411764705882,0.0590277777777777,-0.43489911391053704,0.2857142857142857,0.3159722222222222,-0.5021260046668395,0.8425531914893617,0.8159722222222222,0.054712901108236456,0.7837837837837838,0.8993055555555556,-0.004056506597341469,0.8232758620689655,0.8055555555555556,0.035435571687840284
S4,0.5174228675136116,0.3370840895341803,0.4374470659407138,LDA,0.5174228675136116,0.7213114754098361,0.2118055555555555,0.20388860789622454,,0.0,,0.3142857142857143,0.1215277777777777,-0.20313715322789727,0.3809523809523809,0.0729166666666666,-0.13647048656123068,0.5944700460829493,0.7534722222222222,0.07704717856933774,0.6666666666666666,0.1458333333333333,0.14924379915305508
S5,0.4023593466424682,0.2989715668481548,0.3993345432546884,LDA,0.4023593466424682,0.6956521739130435,0.0798611111111111,0.29329282727057526,,0.0,,0.4285714285714285,0.0486111111111111,0.026212081928960296,0.8333333333333334,0.0208333333333333,0.4309739866908652,0.4833333333333333,0.625,0.08097398669086509,0.0,0.0034722222222222,-0.4023593466424682
S6,0.4861464004839685,0.3336963097398669,0.4584392014519055,LDA,0.4861464004839685,0.625,0.2222222222222222,0.1388535995160315,,0.0,,0.3333333333333333,0.0104166666666666,-0.1528130671506352,0.4166666666666667,0.2083333333333333,-0.06947973381730183,0.5454545454545454,0.7256944444444444,0.059308144970576904,0.5,0.0694444444444444,0.01385359951603149
S7,0.7674531155474893,0.4901391409558379,0.7886267392619479,RF,0.7886267392619479,0.8584474885844748,0.7604166666666666,0.06982074932252691,0.2419354838709677,0.2152777777777778,-0.5466912553909802,0.253012048192771,0.8645833333333334,-0.5356146910691769,0.783410138248848,0.7534722222222222,-0.005216601013099953,0.7941176470588235,0.9444444444444444,0.005490907796875555,0.7769516728624535,0.9340277777777778,-0.01167506639949445
S8,0.7638838475499092,0.4279491833030853,0.7430732002419843,LDA,0.7638838475499092,0.9184782608695652,0.6388888888888888,0.15459441331965595,0.2,0.0173611111111111,-0.5638838475499093,0.21875,0.2222222222222222,-0.5451338475499092,0.8186046511627907,0.7465277777777778,0.05472080361288145,0.816793893129771,0.9097222222222222,0.052910045579861786,0.8204081632653061,0.8506944444444444,0.056524315715396845
S9,0.5598701298701297,0.2599999999999999,0.541948051948052,LDA,0.5598701298701297,0.7130434782608696,0.4151624548736462,0.15317334839073982,0.5,0.0072202166064981,-0.05987012987012974,0.2857142857142857,0.0252707581227436,-0.27415584415584404,0.652542372881356,0.4259927797833935,0.09267224301122623,0.618421052631579,0.8231046931407943,0.05855092276144924,0.6105263157894737,0.3429602888086642,0.050656185919343955
