bin,bin_lower,bin_upper,count,confidence,accuracy,gap,dataset,subject,decoder
1,0.1,0.2,0,,,,BCI_IV_2a,8,v1_lda
2,0.2,0.30000000000000004,11,0.2904904418274358,0.2727272727272727,0.017763169100163068,BCI_IV_2a,8,v1_lda
3,0.30000000000000004,0.4,118,0.3607180761939632,0.5169491525423728,0.15623107634840966,BCI_IV_2a,8,v1_lda
4,0.4,0.5,122,0.4376957257660707,0.6885245901639344,0.2508288643978637,BCI_IV_2a,8,v1_lda
5,0.5,0.6000000000000001,24,0.5485231874290811,0.75,0.20147681257091887,BCI_IV_2a,8,v1_lda
6,0.6000000000000001,0.7000000000000001,12,0.6289495345505006,0.8333333333333334,0.20438379878283275,BCI_IV_2a,8,v1_lda
7,0.7000000000000001,0.8,1,0.7326725071487242,1.0,0.26732749285127577,BCI_IV_2a,8,v1_lda
8,0.8,0.9,0,,,,BCI_IV_2a,8,v1_lda
9,0.9,1.0,0,,,,BCI_IV_2a,8,v1_lda
0,0.0,0.1,0,,,,BCI_IV_2a,9,v1_lda
1,0.1,0.2,0,,,,BCI_IV_2a,9,v1_lda
2,0.2,0.30000000000000004,0,,,,BCI_IV_2a,9,v1_lda
3,0.30000000000000004,0.4,214,0.35579079328655494,0.3411214953271028,0.014669297959452154,BCI_IV_2a,9,v1_lda
4,0.4,0.5,50,0.4229252233996357,0.56,0.13707477660036438,BCI_IV_2a,9,v1_lda
5,0.5,0.6000000000000001,0,,,,BCI_IV_2a,9,v1_lda
6,0.6000000000000001,0.7000000000000001,0,,,,BCI_IV_2a,9,v1_lda
7,0.7000000000000001,0.8,0,,,,BCI_IV_2a,9,v1_lda
8,0.8,0.9,0,,,,BCI_IV_2a,9,v1_lda
9,0.9,1.0,0,,,,BCI_IV_2a,9,v1_lda
