dataset,subject,split,model,use_ea,calibrated,uncertainty_score,coverage_target,score_cutoff,n_trials,accuracy_all,macro_f1,brier,ece,selective_accuracy,selective_risk,coverage_observed
BCI_IV_2a,1,A0xT_to_A0xE,v1_lda,True,True,max-prob,0.6,0.5210926359441823,288,0.7256944444444444,0.7237543832633633,0.40919348874425343,0.1761511823526346,0.8439306358381503,0.1560693641618497,0.6006944444444444
BCI_IV_2a,2,A0xT_to_A0xE,v1_lda,True,True,max-prob,0.6,0.5384421341504679,288,0.25,0.1,0.8471197530537729,0.3232658928739998,0.3468208092485549,0.653179190751445,0.6006944444444444
BCI_IV_2a,3,A0xT_to_A0xE,v1_lda,True,True,max-prob,0.6,0.561546792123562,288,0.7638888888888888,0.7643295108035939,0.37285278660721066,0.15909756975260972,0.8901734104046243,0.10982658959537572,0.6006944444444444
BCI_IV_2a,4,A0xT_to_A0xE,v1_lda,True,True,max-prob,0.6,0.3431588691591489,288,0.25,0.1,0.7596510240534082,0.11121833921747652,0.3236994219653179,0.676300578034682,0.6006944444444444
BCI_IV_2a,5,A0xT_to_A0xE,v1_lda,True,True,max-prob,0.6,0.43259536811417504,288,0.3055555555555556,0.2072640278381905,0.8768984671065428,0.13207289897090324,0.3063583815028902,0.6936416184971098,0.6006944444444444
BCI_IV_2a,6,A0xT_to_A0xE,v1_lda,True,True,max-prob,0.6,0.5319579924554659,288,0.25,0.1,0.8584633216808971,0.292135895923152,0.3236994219653179,0.676300578034682,0.6006944444444444
BCI_IV_2a,7,A0xT_to_A0xE,v1_lda,True,True,max-prob,0.6,0.3867032795702469,288,0.3715277777777778,0.29122431915910174,0.616494081391787,0.1553759622190216,0.5144508670520231,0.48554913294797686,0.6006944444444444
BCI_IV_2a,8,A0xT_to_A0xE,v1_lda,True,True,max-prob,0.6,0.39224613929741853,288,0.6145833333333334,0.6138784563700577,0.5811393243628447,0.19717763856146117,0.7109826589595376,0.2890173410404624,0.6006944444444444
BCI_IV_2a,9,A0xT_to_A0xE,v1_lda,True,True,max-prob,0.6,0.3560445501612575,264,0.38257575757575757,0.2978048225659691,0.7288017891068067,0.03785215376265522,0.4528301886792453,0.5471698113207547,0.6022727272727273
