dataset,subject,model,uncertainty_score,target_coverage,coverage,score_cutoff,selective_accuracy,selective_risk
BCI_IV_2a,1,v1_lda,max-prob,0.4,0.4027777777777778,0.6115054851370199,0.8620689655172413,0.13793103448275867
BCI_IV_2a,1,v1_lda,max-prob,0.6,0.6006944444444444,0.5210926359441823,0.8439306358381503,0.1560693641618497
BCI_IV_2a,1,v1_lda,max-prob,0.8,0.8020833333333334,0.4632013800394881,0.8008658008658008,0.19913419913419916
