subject,n_train,n_test,adaptation,coverage,ensemble_threshold_at_coverage,lda_threshold_at_coverage,ensemble_acc_matched_coverage,lda_acc_matched_coverage,delta_ensemble_minus_lda,ensemble_acc_all,lda_acc_all,eegnet_threshold_at_coverage,eegnet_acc_matched_coverage,delta_ensemble_minus_eegnet,eegnet_acc_all
1,288,288,euclidean,0.6,0.5938523241682833,0.5210926279241729,0.9479768786127167,0.8439306358381503,0.10404624277456642,0.78125,0.7256944444444444,0.6669282913208008,0.8728323699421965,0.07514450867052025,0.78125
2,288,288,euclidean,0.6,0.3031186616800796,0.5382465206701722,0.5606936416184971,0.3468208092485549,0.2138728323699422,0.4548611111111111,0.25,0.466757208108902,0.5664739884393064,-0.005780346820809301,0.4722222222222222
3,288,288,euclidean,0.6,0.6467070612736382,0.5615467936432907,0.9595375722543352,0.8901734104046243,0.06936416184971095,0.8611111111111112,0.7638888888888888,0.8354883790016174,0.9190751445086706,0.040462427745664664,0.7847222222222222
4,288,288,euclidean,0.6,0.3011184264359243,0.3431574607888604,0.41040462427745666,0.3236994219653179,0.08670520231213874,0.3055555555555556,0.25,0.440436989068985,0.5260115606936416,-0.11560693641618497,0.4548611111111111
5,288,288,euclidean,0.6,0.37236700364556236,0.43266770401123394,0.36416184971098264,0.31213872832369943,0.05202312138728321,0.2951388888888889,0.3055555555555556,0.37694594264030457,0.4393063583815029,-0.07514450867052025,0.3993055555555556
6,288,288,euclidean,0.6,0.3689765343322381,0.5319333922711972,0.36416184971098264,0.3236994219653179,0.04046242774566472,0.2708333333333333,0.25,0.3569892644882202,0.34104046242774566,0.023121387283236983,0.3298611111111111
7,288,288,euclidean,0.6,0.41639299846334066,0.38670282893413493,0.7803468208092486,0.5144508670520231,0.2658959537572254,0.7291666666666666,0.3715277777777778,0.6594679951667786,0.7687861271676301,0.011560693641618491,0.6875
8,288,288,euclidean,0.6,0.3953511774430589,0.39219363413825564,0.5722543352601156,0.7109826589595376,-0.138728323699422,0.5486111111111112,0.6145833333333334,0.6907687783241272,0.861271676300578,-0.2890173410404624,0.7534722222222222
9,277,264,euclidean,0.6,0.4019800580067984,0.3560661025498158,0.5534591194968553,0.4528301886792453,0.10062893081761004,0.4772727272727273,0.38257575757575757,0.779128909111023,0.8930817610062893,-0.339622641509434,0.7727272727272727
