dataset,subject,decoder,threshold,coverage,risk,accuracy,n_covered
BCI_IV_2a,3,EEGNet,0.85,0.5763888888888888,0.0783132530120482,0.9216867469879518,166
BCI_IV_2a,3,EEGNet,0.9,0.4618055555555556,0.045112781954887216,0.9548872180451128,133
BCI_IV_2a,3,EEGNet,0.95,0.3020833333333333,0.034482758620689655,0.9655172413793104,87
BCI_IV_2a,3,EEGNet,1.0,0.0,,,0
BCI_IV_2a,4,EEGNet,0.0,1.0,0.5451388888888888,0.4548611111111111,288
BCI_IV_2a,4,EEGNet,0.05,1.0,0.5451388888888888,0.4548611111111111,288
BCI_IV_2a,4,EEGNet,0.1,1.0,0.5451388888888888,0.4548611111111111,288
BCI_IV_2a,4,EEGNet,0.15,1.0,0.5451388888888888,0.4548611111111111,288
BCI_IV_2a,4,EEGNet,0.2,1.0,0.5451388888888888,0.4548611111111111,288
BCI_IV_2a,4,EEGNet,0.25,1.0,0.5451388888888888,0.4548611111111111,288
BCI_IV_2a,4,EEGNet,0.3,0.9861111111111112,0.5387323943661971,0.4612676056338028,284
BCI_IV_2a,4,EEGNet,0.35,0.8854166666666666,0.5058823529411764,0.49411764705882355,255
BCI_IV_2a,4,EEGNet,0.4,0.7222222222222222,0.4855769230769231,0.5144230769230769,208
BCI_IV_2a,4,EEGNet,0.45,0.5798611111111112,0.48502994011976047,0.5149700598802395,167
BCI_IV_2a,4,EEGNet,0.5,0.4409722222222222,0.4645669291338583,0.5354330708661418,127
BCI_IV_2a,4,EEGNet,0.55,0.3125,0.4222222222222222,0.5777777777777777,90
BCI_IV_2a,4,EEGNet,0.6,0.2326388888888889,0.40298507462686567,0.5970149253731343,67
BCI_IV_2a,4,EEGNet,0.65,0.1736111111111111,0.4,0.6,50
BCI_IV_2a,4,EEGNet,0.7,0.1111111111111111,0.3125,0.6875,32
BCI_IV_2a,4,EEGNet,0.75,0.059027777777777776,0.29411764705882354,0.7058823529411765,17
BCI_IV_2a,4,EEGNet,0.8,0.03819444444444445,0.2727272727272727,0.7272727272727273,11
BCI_IV_2a,4,EEGNet,0.85,0.03125,0.2222222222222222,0.7777777777777778,9
BCI_IV_2a,4,EEGNet,0.9,0.013888888888888888,0.0,1.0,4
BCI_IV_2a,4,EEGNet,0.95,0.006944444444444444,0.0,1.0,2
BCI_IV_2a,4,EEGNet,1.0,0.0,,,0
BCI_IV_2a,5,EEGNet,0.0,1.0,0.6006944444444444,0.3993055555555556,288
BCI_IV_2a,5,EEGNet,0.05,1.0,0.6006944444444444,0.3993055555555556,288
BCI_IV_2a,5,EEGNet,0.1,1.0,0.6006944444444444,0.3993055555555556,288
BCI_IV_2a,5,EEGNet,0.15,1.0,0.6006944444444444,0.3993055555555556,288
BCI_IV_2a,5,EEGNet,0.2,1.0,0.6006944444444444,0.3993055555555556,288
BCI_IV_2a,5,EEGNet,0.25,1.0,0.6006944444444444,0.3993055555555556,288
BCI_IV_2a,5,EEGNet,0.3,0.9791666666666666,0.6063829787234043,0.39361702127659576,282
