subject,n_trials,n_channels,n_timepoints,n_classes,weights,best_single_acc,LDA_oof_acc,SVM_oof_acc,threshold,ensemble_acc_all,ensemble_acc_confident,ensemble_coverage,delta_all_vs_best,delta_conf_vs_best
1,288,22,1126,4,"{""LDA"": 0.4954010004841051, ""SVM"": 0.5045989995158948}",0.7566848154869934,0.7430555555555556,0.7465277777777778,0.75,0.75,0.8842975206611571,0.4201388888888889,-0.006684815486993401,0.12761270517416368
2,288,22,1126,4,"{""LDA"": 0.5071827022757565, ""SVM"": 0.4928172977242435}",0.6215366001209921,0.6215277777777778,0.5555555555555556,0.75,0.5972222222222222,0.8983050847457628,0.2048611111111111,-0.02431437789876989,0.27676848462477066
3,288,22,1126,4,"{""LDA"": 0.4987747035573123, ""SVM"": 0.5012252964426877}",0.7671506352087113,0.7638888888888888,0.7465277777777778,0.75,0.7708333333333334,0.9251700680272109,0.5104166666666666,0.0036826981246220747,0.15801943281849962
4,288,22,1126,4,"{""LDA"": 0.5249582039646524, ""SVM"": 0.47504179603534746}",0.3989110707803992,0.3993055555555556,0.4027777777777778,0.75,0.4166666666666667,,0.0,0.01775559588626746,
5,288,22,1126,4,"{""LDA"": 0.5188593968280056, ""SVM"": 0.4811406031719944}",0.3819721718088324,0.3819444444444444,0.3680555555555556,0.75,0.3854166666666667,,0.0,0.0034444948578342682,
6,288,22,1126,4,"{""LDA"": 0.5358770769004557, ""SVM"": 0.4641229230995442}",0.4409558378705384,0.4409722222222222,0.3784722222222222,0.75,0.4201388888888889,,0.0,-0.020816948981649486,
7,288,22,1126,4,"{""LDA"": 0.5070782946056378, ""SVM"": 0.49292170539436214}",0.743254688445251,0.7430555555555556,0.7222222222222222,0.75,0.7326388888888888,0.8478260869565217,0.3194444444444444,-0.01061579955636216,0.10457139851127073
8,288,22,1126,4,"{""LDA"": 0.5073085748279085, ""SVM"": 0.4926914251720914}",0.7222625529340593,0.7222222222222222,0.7291666666666666,0.75,0.7291666666666666,0.9090909090909091,0.3055555555555556,0.006904113732607353,0.18682835615684978
9,277,22,1126,4,"{""LDA"": 0.5146637007551368, ""SVM"": 0.48533629924486327}",0.5709090909090909,0.5703971119133574,0.5451263537906137,0.75,0.5631768953068592,0.6666666666666666,0.04332129963898917,-0.007732195602231706,0.09575757575757571
