metric,n,mean,sd,ci_low_95,ci_high_95,t_stat,p_value
ensemble_acc_all,9,0.5961400254044658,0.15779647896920687,0.474846914396583,0.7174331364123485,,
ensemble_acc_confident,9,0.7516332961245327,0.12987585178798136,0.6518018790291166,0.8514647132199488,,
ensemble_coverage,9,0.42289243214333466,0.3406820217109823,0.16102104852492116,0.6847638157617482,,
best_single_acc,9,0.6004041626183186,0.15911319740360258,0.4780989322255639,0.7227093930110734,,
delta_all_vs_best,9,-0.004264137213852832,0.0135388890379752,-0.014671048583066552,0.006142774155360888,,
delta_conf_vs_best,9,0.151229133506214,0.1297039147024972,0.05152987895417169,0.25092838805825635,,
paired_ttest_all_vs_best,9,,,,,-0.9448642060420976,0.3723865583276588
paired_ttest_confident_vs_best,9,,,,,3.4978697563544485,0.008104348723809435
