run,dataset,subject,model,uncertainty_score,target_coverage,coverage,score_cutoff,selective_accuracy,selective_risk
smoke_deep_one_subject,BCI_IV_2a,1,v1_lda,max-prob,0.4,0.4027777777777778,0.61150547949061,0.8620689655172413,0.1379310344827586
smoke_deep_one_subject,BCI_IV_2a,1,v1_lda,max-prob,0.6,0.6006944444444444,0.5210926279241729,0.8439306358381503,0.1560693641618497
smoke_deep_one_subject,BCI_IV_2a,1,v1_lda,max-prob,0.8,0.8020833333333334,0.4632013624175634,0.8008658008658008,0.1991341991341991
smoke_deep_one_subject,BCI_IV_2a,1,eegnet_uncalibrated,max-prob,0.4,0.4027777777777778,0.5843652956428623,0.603448275862069,0.396551724137931
smoke_deep_one_subject,BCI_IV_2a,1,eegnet_uncalibrated,max-prob,0.6,0.6006944444444444,0.5297987394575304,0.5722543352601156,0.4277456647398844
smoke_deep_one_subject,BCI_IV_2a,1,eegnet_uncalibrated,max-prob,0.8,0.8020833333333334,0.4930494873975336,0.5714285714285714,0.4285714285714286
smoke_deep_one_subject,BCI_IV_2a,1,eegnet_calibrated,max-prob,0.4,0.4027777777777778,0.58959042641054,0.6120689655172413,0.3879310344827587
smoke_deep_one_subject,BCI_IV_2a,1,eegnet_calibrated,max-prob,0.6,0.6006944444444444,0.5344408807776432,0.5722543352601156,0.4277456647398844
smoke_deep_one_subject,BCI_IV_2a,1,eegnet_calibrated,max-prob,0.8,0.8020833333333334,0.4965081856619711,0.5757575757575758,0.4242424242424242
smoke_deep_one_subject,BCI_IV_2a,1,spatial_uncalibrated,max-prob,0.4,0.4027777777777778,0.8090886910497767,0.896551724137931,0.1034482758620689
smoke_deep_one_subject,BCI_IV_2a,1,spatial_uncalibrated,max-prob,0.6,0.6006944444444444,0.7098645160321977,0.8670520231213873,0.1329479768786127
smoke_deep_one_subject,BCI_IV_2a,1,spatial_uncalibrated,max-prob,0.8,0.8020833333333334,0.5862088735874477,0.8354978354978355,0.1645021645021644
smoke_deep_one_subject,BCI_IV_2a,1,spatial_calibrated,max-prob,0.4,0.4027777777777778,0.8703573785774744,0.896551724137931,0.1034482758620689
smoke_deep_one_subject,BCI_IV_2a,1,spatial_calibrated,max-prob,0.6,0.6006944444444444,0.758220598313273,0.8728323699421965,0.1271676300578035
smoke_deep_one_subject,BCI_IV_2a,1,spatial_calibrated,max-prob,0.8,0.8020833333333334,0.6318818594038426,0.8311688311688312,0.1688311688311687
smoke_deep_one_subject,BCI_IV_2a,1,deep_ensemble_validation_weighted,max-prob,0.4,0.4027777777777778,0.7702791114943718,0.8448275862068966,0.1551724137931034
smoke_deep_one_subject,BCI_IV_2a,1,deep_ensemble_validation_weighted,max-prob,0.6,0.6006944444444444,0.7001366009919897,0.8323699421965318,0.1676300578034681
smoke_deep_one_subject,BCI_IV_2a,1,deep_ensemble_validation_weighted,max-prob,0.8,0.8020833333333334,0.594200306097331,0.8181818181818182,0.1818181818181817
headline_bci_iv_2a/classical_lda,BCI_IV_2a,1,v1_lda,max-prob,0.4,0.4027777777777778,0.61150547949061,0.8620689655172413,0.1379310344827586
headline_bci_iv_2a/classical_lda,BCI_IV_2a,1,v1_lda,max-prob,0.6,0.6006944444444444,0.5210926279241729,0.8439306358381503,0.1560693641618497
headline_bci_iv_2a/classical_lda,BCI_IV_2a,1,v1_lda,max-prob,0.8,0.8020833333333334,0.4632013624175634,0.8008658008658008,0.1991341991341991
headline_bci_iv_2a/classical_lda,BCI_IV_2a,2,v1_lda,max-prob,0.4,0.4027777777777778,0.5561982782373482,0.4741379310344827,0.5258620689655172
headline_bci_iv_2a/classical_lda,BCI_IV_2a,2,v1_lda,max-prob,0.6,0.6006944444444444,0.5382465206701723,0.3468208092485549,0.653179190751445
headline_bci_iv_2a/classical_lda,BCI_IV_2a,2,v1_lda,max-prob,0.8,0.8020833333333334,0.5135028504637553,0.3073593073593073,0.6926406926406927
headline_bci_iv_2a/classical_lda,BCI_IV_2a,3,v1_lda,max-prob,0.4,0.4027777777777778,0.6537994318953156,0.9482758620689656,0.0517241379310344
headline_bci_iv_2a/classical_lda,BCI_IV_2a,3,v1_lda,max-prob,0.6,0.6006944444444444,0.5615467936432907,0.8901734104046243,0.1098265895953757
headline_bci_iv_2a/classical_lda,BCI_IV_2a,3,v1_lda,max-prob,0.8,0.8020833333333334,0.4792332809033641,0.8225108225108225,0.1774891774891774
headline_bci_iv_2a/classical_lda,BCI_IV_2a,4,v1_lda,max-prob,0.4,0.4027777777777778,0.3514676555859229,0.3706896551724138,0.6293103448275862
headline_bci_iv_2a/classical_lda,BCI_IV_2a,4,v1_lda,max-prob,0.6,0.6006944444444444,0.3431574607888604,0.3236994219653179,0.676300578034682
