run,dataset,subject,split,model,use_ea,calibrated,uncertainty_score,coverage_target,score_cutoff,n_trials,accuracy_all,macro_f1,brier,ece,selective_accuracy,selective_risk,coverage_observed
smoke_deep_one_subject,BCI_IV_2a,1,A0xT_to_A0xE,v1_lda,True,True,max-prob,0.6,0.5210926279241729,288,0.7256944444444444,0.7237543832633633,0.4091934881538396,0.1761511816124151,0.8439306358381503,0.1560693641618497,0.6006944444444444
smoke_deep_one_subject,BCI_IV_2a,1,A0xT_to_A0xE,eegnet_uncalibrated,True,False,max-prob,0.6,0.5297987394575304,288,0.5416666666666666,0.5074627940193978,0.5517984312571086,0.0723163636292965,0.5722543352601156,0.4277456647398844,0.6006944444444444
smoke_deep_one_subject,BCI_IV_2a,1,A0xT_to_A0xE,eegnet_calibrated,True,True,max-prob,0.6,0.5344408807776432,288,0.5416666666666666,0.5074627940193978,0.5531060013775618,0.0752989484220728,0.5722543352601156,0.4277456647398844,0.6006944444444444
smoke_deep_one_subject,BCI_IV_2a,1,A0xT_to_A0xE,spatial_uncalibrated,True,False,max-prob,0.6,0.7098645160321977,288,0.7777777777777778,0.774577546075718,0.315487332124061,0.04905754906466,0.8670520231213873,0.1329479768786127,0.6006944444444444
smoke_deep_one_subject,BCI_IV_2a,1,A0xT_to_A0xE,spatial_calibrated,True,True,max-prob,0.6,0.758220598313273,288,0.7777777777777778,0.774577546075718,0.3134421108948479,0.0450893297368379,0.8728323699421965,0.1271676300578035,0.6006944444444444
smoke_deep_one_subject,BCI_IV_2a,1,A0xT_to_A0xE,deep_ensemble_validation_weighted,True,True,max-prob,0.6,0.7001366009919896,288,0.7465277777777778,0.7404665610332147,0.3497653990209758,0.0929888039046406,0.8323699421965318,0.1676300578034681,0.6006944444444444
headline_bci_iv_2a/classical_lda,BCI_IV_2a,1,A0xT_to_A0xE,v1_lda,True,True,max-prob,0.6,0.5210926279241729,288,0.7256944444444444,0.7237543832633633,0.4091934881538396,0.1761511816124151,0.8439306358381503,0.1560693641618497,0.6006944444444444
headline_bci_iv_2a/classical_lda,BCI_IV_2a,2,A0xT_to_A0xE,v1_lda,True,True,max-prob,0.6,0.5382465206701723,288,0.25,0.1,0.8469666274994974,0.3231311502696633,0.3468208092485549,0.653179190751445,0.6006944444444444
headline_bci_iv_2a/classical_lda,BCI_IV_2a,3,A0xT_to_A0xE,v1_lda,True,True,max-prob,0.6,0.5615467936432907,288,0.7638888888888888,0.7643295108035939,0.3728527854724847,0.1590975698884873,0.8901734104046243,0.1098265895953757,0.6006944444444444
headline_bci_iv_2a/classical_lda,BCI_IV_2a,4,A0xT_to_A0xE,v1_lda,True,True,max-prob,0.6,0.3431574607888604,288,0.25,0.1,0.7596759025344141,0.1112148342338746,0.3236994219653179,0.676300578034682,0.6006944444444444
headline_bci_iv_2a/classical_lda,BCI_IV_2a,5,A0xT_to_A0xE,v1_lda,True,True,max-prob,0.6,0.4326677040112339,288,0.3055555555555556,0.2070126653776802,0.8769270409169325,0.1320802718924895,0.3121387283236994,0.6878612716763006,0.6006944444444444
headline_bci_iv_2a/classical_lda,BCI_IV_2a,6,A0xT_to_A0xE,v1_lda,True,True,max-prob,0.6,0.5319333922711972,288,0.25,0.1,0.8584547986728084,0.292118191358887,0.3236994219653179,0.676300578034682,0.6006944444444444
headline_bci_iv_2a/classical_lda,BCI_IV_2a,7,A0xT_to_A0xE,v1_lda,True,True,max-prob,0.6,0.386702828934135,288,0.3715277777777778,0.2912243191591017,0.6165127397536454,0.1553722698178022,0.5144508670520231,0.4855491329479768,0.6006944444444444
headline_bci_iv_2a/classical_lda,BCI_IV_2a,8,A0xT_to_A0xE,v1_lda,True,True,max-prob,0.6,0.3921936341382556,288,0.6145833333333334,0.6138784563700577,0.5811168621965376,0.1971271075397125,0.7109826589595376,0.2890173410404624,0.6006944444444444
headline_bci_iv_2a/classical_lda,BCI_IV_2a,9,A0xT_to_A0xE,v1_lda,True,True,max-prob,0.6,0.3560661025498158,264,0.3825757575757575,0.2978048225659691,0.7288094446618675,0.0378675993577461,0.4528301886792453,0.5471698113207547,0.6022727272727273
smoke_lda_one_subject,BCI_IV_2a,1,A0xT_to_A0xE,v1_lda,True,True,max-prob,0.6,0.5210926359441823,288,0.7256944444444444,0.7237543832633633,0.4091934887442534,0.1761511823526346,0.8439306358381503,0.1560693641618497,0.6006944444444444
smoke_lda,BCI_IV_2a,1,A0xT_to_A0xE,v1_lda,True,True,max-prob,0.6,0.5210926359441823,288,0.7256944444444444,0.7237543832633633,0.4091934887442534,0.1761511823526346,0.8439306358381503,0.1560693641618497,0.6006944444444444
smoke_lda,BCI_IV_2a,2,A0xT_to_A0xE,v1_lda,True,True,max-prob,0.6,0.5384421341504679,288,0.25,0.1,0.8471197530537729,0.3232658928739998,0.3468208092485549,0.653179190751445,0.6006944444444444
smoke_lda,BCI_IV_2a,3,A0xT_to_A0xE,v1_lda,True,True,max-prob,0.6,0.561546792123562,288,0.7638888888888888,0.7643295108035939,0.3728527866072106,0.1590975697526097,0.8901734104046243,0.1098265895953757,0.6006944444444444
smoke_lda,BCI_IV_2a,4,A0xT_to_A0xE,v1_lda,True,True,max-prob,0.6,0.3431588691591489,288,0.25,0.1,0.7596510240534082,0.1112183392174765,0.3236994219653179,0.676300578034682,0.6006944444444444
smoke_lda,BCI_IV_2a,5,A0xT_to_A0xE,v1_lda,True,True,max-prob,0.6,0.432595368114175,288,0.3055555555555556,0.2072640278381905,0.8768984671065428,0.1320728989709032,0.3063583815028902,0.6936416184971098,0.6006944444444444
smoke_lda,BCI_IV_2a,6,A0xT_to_A0xE,v1_lda,True,True,max-prob,0.6,0.5319579924554659,288,0.25,0.1,0.8584633216808971,0.292135895923152,0.3236994219653179,0.676300578034682,0.6006944444444444
smoke_lda,BCI_IV_2a,7,A0xT_to_A0xE,v1_lda,True,True,max-prob,0.6,0.3867032795702469,288,0.3715277777777778,0.2912243191591017,0.616494081391787,0.1553759622190216,0.5144508670520231,0.4855491329479768,0.6006944444444444
smoke_lda,BCI_IV_2a,8,A0xT_to_A0xE,v1_lda,True,True,max-prob,0.6,0.3922461392974185,288,0.6145833333333334,0.6138784563700577,0.5811393243628447,0.1971776385614611,0.7109826589595376,0.2890173410404624,0.6006944444444444
smoke_lda,BCI_IV_2a,9,A0xT_to_A0xE,v1_lda,True,True,max-prob,0.6,0.3560445501612575,264,0.3825757575757575,0.2978048225659691,0.7288017891068067,0.0378521537626552,0.4528301886792453,0.5471698113207547,0.6022727272727273
smoke_lda_one_subject_2,BCI_IV_2a,1,A0xT_to_A0xE,v1_lda,True,True,max-prob,0.6,0.5210926359441823,288,0.7256944444444444,0.7237543832633633,0.4091934887442534,0.1761511823526346,0.8439306358381503,0.1560693641618497,0.6006944444444444
full_deep_bci_iv_2a_validation_postcal,BCI_IV_2a,1,A0xT_to_A0xE,v1_lda,True,True,max-prob,0.6,0.5210926279241729,288,0.7256944444444444,0.7237543832633633,0.4091934881538396,0.1761511816124151,0.8439306358381503,0.1560693641618497,0.6006944444444444
full_deep_bci_iv_2a_validation_postcal,BCI_IV_2a,1,A0xT_to_A0xE,eegnet_uncalibrated,True,False,max-prob,0.6,0.6677939653216111,288,0.7847222222222222,0.7810295756483243,0.3460950503734987,0.0856127671330376,0.8728323699421965,0.1271676300578035,0.6006944444444444
full_deep_bci_iv_2a_validation_postcal,BCI_IV_2a,1,A0xT_to_A0xE,eegnet_calibrated,True,True,max-prob,0.6,0.6992124772834527,288,0.7847222222222222,0.7810295756483243,0.3429088225002769,0.0717093005616177,0.8670520231213873,0.1329479768786127,0.6006944444444444
full_deep_bci_iv_2a_validation_postcal,BCI_IV_2a,1,A0xT_to_A0xE,spatial_uncalibrated,True,False,max-prob,0.6,0.912386377610157,288,0.8333333333333334,0.8318557611511778,0.2336109432095588,0.0500238304665982,0.9364161849710982,0.0635838150289017,0.6006944444444444
full_deep_bci_iv_2a_validation_postcal,BCI_IV_2a,1,A0xT_to_A0xE,spatial_calibrated,True,True,max-prob,0.6,0.900755895401784,288,0.8333333333333334,0.8318557611511778,0.2325584982650869,0.0596531125893432,0.9364161849710982,0.0635838150289017,0.6006944444444444
full_deep_bci_iv_2a_validation_postcal,BCI_IV_2a,1,A0xT_to_A0xE,deep_ensemble_validation_weighted,True,True,max-prob,0.6,0.8698711704156661,288,0.8472222222222222,0.8452570921274214,0.2232414528600004,0.0253641628598604,0.9479768786127168,0.0520231213872832,0.6006944444444444
full_deep_bci_iv_2a_validation_postcal,BCI_IV_2a,2,A0xT_to_A0xE,v1_lda,True,True,max-prob,0.6,0.5382465206701723,288,0.25,0.1,0.8469666274994974,0.3231311502696633,0.3468208092485549,0.653179190751445,0.6006944444444444
full_deep_bci_iv_2a_validation_postcal,BCI_IV_2a,2,A0xT_to_A0xE,eegnet_uncalibrated,True,False,max-prob,0.6,0.4670031361452058,288,0.4756944444444444,0.4418439493870528,0.6223021466647332,0.1038472351353463,0.5664739884393064,0.4335260115606936,0.6006944444444444
full_deep_bci_iv_2a_validation_postcal,BCI_IV_2a,2,A0xT_to_A0xE,eegnet_calibrated,True,True,max-prob,0.6,0.4294013403185069,288,0.4756944444444444,0.4418439493870528,0.6107728154639319,0.0480543526631793,0.5722543352601156,0.4277456647398844,0.6006944444444444
full_deep_bci_iv_2a_validation_postcal,BCI_IV_2a,2,A0xT_to_A0xE,spatial_uncalibrated,True,False,max-prob,0.6,0.6606948459797098,288,0.6215277777777778,0.6213304765456343,0.5236352574175162,0.1345190354599538,0.7109826589595376,0.2890173410404624,0.6006944444444444
full_deep_bci_iv_2a_validation_postcal,BCI_IV_2a,2,A0xT_to_A0xE,spatial_calibrated,True,True,max-prob,0.6,0.5853580967579302,288,0.6215277777777778,0.6213304765456343,0.498107136050591,0.0814505876662283,0.7109826589595376,0.2890173410404624,0.6006944444444444
full_deep_bci_iv_2a_validation_postcal,BCI_IV_2a,2,A0xT_to_A0xE,deep_ensemble_validation_weighted,True,True,max-prob,0.6,0.5510319230642398,288,0.6076388888888888,0.6029235444480354,0.5062538678730998,0.0566867887521034,0.7167630057803468,0.2832369942196532,0.6006944444444444
full_deep_bci_iv_2a_validation_postcal,BCI_IV_2a,3,A0xT_to_A0xE,v1_lda,True,True,max-prob,0.6,0.5615467936432907,288,0.7638888888888888,0.7643295108035939,0.3728527854724847,0.1590975698884873,0.8901734104046243,0.1098265895953757,0.6006944444444444
full_deep_bci_iv_2a_validation_postcal,BCI_IV_2a,3,A0xT_to_A0xE,eegnet_uncalibrated,True,False,max-prob,0.6,0.8288360111017148,288,0.78125,0.7644965713827989,0.2952734536156701,0.0393582430554867,0.9190751445086706,0.0809248554913294,0.6006944444444444
full_deep_bci_iv_2a_validation_postcal,BCI_IV_2a,3,A0xT_to_A0xE,eegnet_calibrated,True,True,max-prob,0.6,0.7988454106930156,288,0.78125,0.7644965713827989,0.2933964864791522,0.0240013133645861,0.9190751445086706,0.0809248554913294,0.6006944444444444
full_deep_bci_iv_2a_validation_postcal,BCI_IV_2a,3,A0xT_to_A0xE,spatial_uncalibrated,True,False,max-prob,0.6,0.9665414038588908,288,0.9027777777777778,0.900943492311578,0.1639213384526104,0.0398857477400668,0.9653179190751444,0.0346820809248554,0.6006944444444444
full_deep_bci_iv_2a_validation_postcal,BCI_IV_2a,3,A0xT_to_A0xE,spatial_calibrated,True,True,max-prob,0.6,0.940056421899238,288,0.9027777777777778,0.900943492311578,0.1636652983500984,0.0316193720966575,0.9710982658959536,0.0289017341040462,0.6006944444444444
full_deep_bci_iv_2a_validation_postcal,BCI_IV_2a,3,A0xT_to_A0xE,deep_ensemble_validation_weighted,True,True,max-prob,0.6,0.8997084421029011,288,0.8923611111111112,0.8905337950650903,0.1767730839582691,0.0274650237459167,0.976878612716763,0.0231213872832369,0.6006944444444444
full_deep_bci_iv_2a_validation_postcal,BCI_IV_2a,4,A0xT_to_A0xE,v1_lda,True,True,max-prob,0.6,0.3431574607888604,288,0.25,0.1,0.7596759025344141,0.1112148342338746,0.3236994219653179,0.676300578034682,0.6006944444444444
full_deep_bci_iv_2a_validation_postcal,BCI_IV_2a,4,A0xT_to_A0xE,eegnet_uncalibrated,True,False,max-prob,0.6,0.4426982091986622,288,0.46875,0.466878170464248,0.6426575045324723,0.0661051946836262,0.5317919075144508,0.4682080924855492,0.6006944444444444
full_deep_bci_iv_2a_validation_postcal,BCI_IV_2a,4,A0xT_to_A0xE,eegnet_calibrated,True,True,max-prob,0.6,0.415175492660626,288,0.46875,0.466878170464248,0.6394300533162339,0.0376709229245882,0.5260115606936416,0.4739884393063583,0.6006944444444444
full_deep_bci_iv_2a_validation_postcal,BCI_IV_2a,4,A0xT_to_A0xE,spatial_uncalibrated,True,False,max-prob,0.6,0.6824617867002081,288,0.6076388888888888,0.5993617139986113,0.5680919784017462,0.1605998270101798,0.6647398843930635,0.3352601156069364,0.6006944444444444
full_deep_bci_iv_2a_validation_postcal,BCI_IV_2a,4,A0xT_to_A0xE,spatial_calibrated,True,True,max-prob,0.6,0.5593506362700237,288,0.6076388888888888,0.5993617139986113,0.5327059071626522,0.0954210772385277,0.6473988439306358,0.3526011560693641,0.6006944444444444
full_deep_bci_iv_2a_validation_postcal,BCI_IV_2a,4,A0xT_to_A0xE,deep_ensemble_validation_weighted,True,True,max-prob,0.6,0.5548192278278159,288,0.5798611111111112,0.5718919322540135,0.5427104418716943,0.0755936271833026,0.6358381502890174,0.3641618497109826,0.6006944444444444
full_deep_bci_iv_2a_validation_postcal,BCI_IV_2a,5,A0xT_to_A0xE,v1_lda,True,True,max-prob,0.6,0.4326677040112339,288,0.3055555555555556,0.2070126653776802,0.8769270409169325,0.1320802718924895,0.3121387283236994,0.6878612716763006,0.6006944444444444
full_deep_bci_iv_2a_validation_postcal,BCI_IV_2a,5,A0xT_to_A0xE,eegnet_uncalibrated,True,False,max-prob,0.6,0.3779906159834763,288,0.3958333333333333,0.3979348337983794,0.6971099235241248,0.0624366624361222,0.4335260115606936,0.5664739884393064,0.6006944444444444
full_deep_bci_iv_2a_validation_postcal,BCI_IV_2a,5,A0xT_to_A0xE,eegnet_calibrated,True,True,max-prob,0.6,0.3561460335585124,288,0.3958333333333333,0.3979348337983794,0.6952981701684382,0.0525978903696274,0.4393063583815029,0.5606936416184971,0.6006944444444444
full_deep_bci_iv_2a_validation_postcal,BCI_IV_2a,5,A0xT_to_A0xE,spatial_uncalibrated,True,False,max-prob,0.6,0.3799596090525879,288,0.4479166666666667,0.4464556712213525,0.6691334755893111,0.0532726561295924,0.5144508670520231,0.4855491329479768,0.6006944444444444
full_deep_bci_iv_2a_validation_postcal,BCI_IV_2a,5,A0xT_to_A0xE,spatial_calibrated,True,True,max-prob,0.6,0.3583715014975469,288,0.4479166666666667,0.4464556712213525,0.6713653352540934,0.0521738676755915,0.5202312138728323,0.4797687861271676,0.6006944444444444
full_deep_bci_iv_2a_validation_postcal,BCI_IV_2a,5,A0xT_to_A0xE,deep_ensemble_validation_weighted,True,True,max-prob,0.6,0.3655425158700455,288,0.4652777777777778,0.4659057963988589,0.6651800091148701,0.0631394558359674,0.5433526011560693,0.4566473988439307,0.6006944444444444
full_deep_bci_iv_2a_validation_postcal,BCI_IV_2a,6,A0xT_to_A0xE,v1_lda,True,True,max-prob,0.6,0.5319333922711972,288,0.25,0.1,0.8584547986728084,0.292118191358887,0.3236994219653179,0.676300578034682,0.6006944444444444
full_deep_bci_iv_2a_validation_postcal,BCI_IV_2a,6,A0xT_to_A0xE,eegnet_uncalibrated,True,False,max-prob,0.6,0.3573555374137593,288,0.3263888888888889,0.3253434913882675,0.7365780767418038,0.067135235882229,0.3410404624277456,0.6589595375722543,0.6006944444444444
full_deep_bci_iv_2a_validation_postcal,BCI_IV_2a,6,A0xT_to_A0xE,eegnet_calibrated,True,True,max-prob,0.6,0.3898209881136922,288,0.3263888888888889,0.3253434913882675,0.7505644801284593,0.1105539623787816,0.3410404624277456,0.6589595375722543,0.6006944444444444
full_deep_bci_iv_2a_validation_postcal,BCI_IV_2a,6,A0xT_to_A0xE,spatial_uncalibrated,True,False,max-prob,0.6,0.5613481641759782,288,0.4340277777777778,0.4295187804965189,0.7351859296451647,0.1956967952732305,0.4855491329479768,0.5144508670520231,0.6006944444444444
full_deep_bci_iv_2a_validation_postcal,BCI_IV_2a,6,A0xT_to_A0xE,spatial_calibrated,True,True,max-prob,0.6,0.471417499196827,288,0.4340277777777778,0.4295187804965189,0.6853974359746202,0.1008495656506661,0.4855491329479768,0.5144508670520231,0.6006944444444444
full_deep_bci_iv_2a_validation_postcal,BCI_IV_2a,6,A0xT_to_A0xE,deep_ensemble_validation_weighted,True,True,max-prob,0.6,0.4546883223690156,288,0.4305555555555556,0.4277179759951437,0.6853198583042998,0.115827866291302,0.4971098265895953,0.5028901734104047,0.6006944444444444
