run,dataset,subject,model,uncertainty_score,coverage,target_coverage,score_cutoff,risk,accuracy,n_covered
smoke_deep_one_subject,BCI_IV_2a,1,eegnet_uncalibrated,max-prob,0.8020833333333334,0.8,0.4930494873975336,0.4285714285714286,0.5714285714285714,231
smoke_deep_one_subject,BCI_IV_2a,1,eegnet_uncalibrated,max-prob,0.8506944444444444,0.85,0.4788993838359103,0.436734693877551,0.563265306122449,245
smoke_deep_one_subject,BCI_IV_2a,1,eegnet_uncalibrated,max-prob,0.9027777777777778,0.9,0.4314480545575787,0.4499999999999999,0.55,260
smoke_deep_one_subject,BCI_IV_2a,1,eegnet_uncalibrated,max-prob,0.9513888888888888,0.95,0.3995203821496581,0.4562043795620438,0.5437956204379562,274
smoke_deep_one_subject,BCI_IV_2a,1,eegnet_uncalibrated,max-prob,1.0,1.0,0.2856480055620435,0.4583333333333333,0.5416666666666666,288
smoke_deep_one_subject,BCI_IV_2a,1,eegnet_calibrated,max-prob,0.0520833333333333,0.05,0.927382562884416,0.3333333333333333,0.6666666666666666,15
smoke_deep_one_subject,BCI_IV_2a,1,eegnet_calibrated,max-prob,0.1006944444444444,0.1,0.8955928544680603,0.3793103448275862,0.6206896551724138,29
smoke_deep_one_subject,BCI_IV_2a,1,eegnet_calibrated,max-prob,0.1527777777777778,0.15,0.8244750007660133,0.3409090909090909,0.6590909090909091,44
smoke_deep_one_subject,BCI_IV_2a,1,eegnet_calibrated,max-prob,0.2013888888888889,0.2,0.7904894522682763,0.3448275862068966,0.6551724137931034,58
smoke_deep_one_subject,BCI_IV_2a,1,eegnet_calibrated,max-prob,0.25,0.25,0.6734002639979579,0.3472222222222222,0.6527777777777778,72
smoke_deep_one_subject,BCI_IV_2a,1,eegnet_calibrated,max-prob,0.3020833333333333,0.3,0.6408842470094877,0.3448275862068966,0.6551724137931034,87
smoke_deep_one_subject,BCI_IV_2a,1,eegnet_calibrated,max-prob,0.3506944444444444,0.35,0.6121202750298613,0.3564356435643564,0.6435643564356436,101
smoke_deep_one_subject,BCI_IV_2a,1,eegnet_calibrated,max-prob,0.4027777777777778,0.4,0.58959042641054,0.3879310344827587,0.6120689655172413,116
