ensemble_name,threshold,metric,n,mean,sd,ci_low_95,ci_high_95
LDA_only,0.6,ensemble_acc_all,9,0.6657021604938271,0.1488990122606419,0.5512482478268751,0.7801560731607792
LDA_only,0.6,ensemble_acc_confident,9,0.771892052680298,0.09890524576302243,0.69586675077266,0.847917354587936
LDA_only,0.6,ensemble_coverage,9,0.6163194444444444,0.2592247026614312,0.41706169901633416,0.8155771898725547
LDA_SVM_equal,0.6,ensemble_acc_all,9,0.6651234567901235,0.14795813914632527,0.5513927632206104,0.7788541503596367
LDA_SVM_equal,0.6,ensemble_acc_confident,9,0.8061763863774615,0.053072228575096525,0.7653814601912371,0.8469713125636859
LDA_SVM_equal,0.6,ensemble_coverage,9,0.5688657407407408,0.3217325867825054,0.32156018222394395,0.8161712992575376
LDA_SVM_subject,0.6,ensemble_acc_all,9,0.6655092592592593,0.14822668183935356,0.5515721455028788,0.7794463730156398
LDA_SVM_subject,0.6,ensemble_acc_confident,9,0.807426949643208,0.05200676042180778,0.7674510147794543,0.8474028845069618
LDA_SVM_subject,0.6,ensemble_coverage,9,0.5688657407407408,0.3219128757081364,0.32142159988793173,0.8163098815935499
LDA_SVM_RF_equal,0.6,ensemble_acc_all,9,0.6689814814814814,0.14590048883655912,0.5568324379530099,0.781130525009953
LDA_SVM_RF_equal,0.6,ensemble_acc_confident,9,0.818062501436819,0.04808724530748236,0.7810993725936085,0.8550256302800295
LDA_SVM_RF_equal,0.6,ensemble_coverage,9,0.5345293209876543,0.3250499423317275,0.2846738172660412,0.7843848247092673
