metric,n,mean,sd,ci_low_95,ci_high_95,t_stat,p_value
ensemble_acc_all,9,0.6057391251058519,0.12718649505046262,0.5079749305963549,0.703503319615349,,
ensemble_acc_confident,9,0.6519299421133787,0.1184121973979627,0.5609102698272741,0.7429496143994834,,
ensemble_coverage,9,0.8062408075945982,0.10593546621582123,0.7248115998751098,0.8876700153140865,,
best_single_acc,9,0.6315204023643225,0.1426431620344658,0.5218751618609638,0.7411656428676812,,
delta_all_vs_best,9,-0.025781277258470577,0.03935332190022058,-0.05603091827044702,0.004468363753505865,,
delta_conf_vs_best,9,0.020409539749056238,0.038897003265165736,-0.009489343709784472,0.05030842320789695,,
paired_ttest_all_vs_best,9,,,,,-1.9653698351441635,0.08494980471807621
paired_ttest_confident_vs_best,9,,,,,1.5741217602231605,0.1541061843554795
