subject,n_trials,n_channels,n_timepoints,n_classes,weights,best_single_acc,LDA_oof_acc,SVM_oof_acc,threshold,ensemble_acc_all,ensemble_acc_confident,ensemble_coverage,delta_all_vs_best,delta_conf_vs_best
1,288,22,1126,4,"{""LDA"": 0.5911225571883048, ""SVM"": 0.4088774428116952}",0.7569267997580157,0.7083333333333334,0.6770833333333334,0.6,0.7118055555555556,0.7403100775193798,0.8958333333333334,-0.04512124420246011,-0.01661672223863586
2,288,22,1126,4,"{""LDA"": 0.5471770091556459, ""SVM"": 0.45282299084435396}",0.6043557168784028,0.5208333333333334,0.5381944444444444,0.6,0.5277777777777778,0.586046511627907,0.7465277777777778,-0.07657793910062505,-0.01830920525049584
3,288,22,1126,4,"{""LDA"": 0.6202797561100578, ""SVM"": 0.37972024388994213}",0.7947973381730187,0.7326388888888888,0.6597222222222222,0.6,0.7395833333333334,0.7578125,0.8888888888888888,-0.055214004839685304,-0.036984838173018675
4,288,22,1126,4,"{""LDA"": 0.609353316680544, ""SVM"": 0.39064668331945596}",0.5312764670296432,0.53125,0.3611111111111111,0.6,0.5277777777777778,0.5668202764976958,0.7534722222222222,-0.003498689251865361,0.03554380946805269
5,288,22,1126,4,"{""LDA"": 0.5481997677119628, ""SVM"": 0.4518002322880372}",0.3712038717483363,0.3715277777777778,0.3298611111111111,0.6,0.3854166666666667,0.4720496894409938,0.5590277777777778,0.014212794918330385,0.10084581769265749
6,288,22,1126,4,"{""LDA"": 0.5911651348947524, ""SVM"": 0.40883486510524764}",0.4825166364186327,0.4826388888888889,0.4097222222222222,0.6,0.4826388888888889,0.5188679245283019,0.7361111111111112,0.00012225247025621222,0.0363512881096692
7,288,22,1126,4,"{""LDA"": 0.6108853410740203, ""SVM"": 0.38911465892597963}",0.7749546279491832,0.7638888888888888,0.6388888888888888,0.6,0.7673611111111112,0.7946768060836502,0.9131944444444444,-0.0075935168380720786,0.019722178134466972
8,288,22,1126,4,"{""LDA"": 0.6321254391945043, ""SVM"": 0.36787456080549585}",0.757047791893527,0.7291666666666666,0.6631944444444444,0.6,0.7361111111111112,0.8,0.8680555555555556,-0.02093668078241584,0.042952208106473044
9,277,22,1126,4,"{""LDA"": 0.6743921281613402, ""SVM"": 0.32560787183865975}",0.5385064935064935,0.5379061371841155,0.48736462093862815,0.6,0.5451263537906137,0.5927601809954751,0.7978339350180506,0.006619860284120205,0.05425368748898163
