subject,n_trials,n_channels,n_timepoints,n_classes,threshold,ensemble_acc_all,ensemble_acc_confident,ensemble_coverage,weights,LDA_oof_acc,SVM_oof_acc,RF_oof_acc
1,288,25,1126,4,0.55,0.7534722222222222,0.788,0.8680555555555556,"{""LDA"": 0.33284544912451886, ""RF"": 0.3297013064454925, ""SVM"": 0.33745324442998864}",0.7430555555555556,0.7604166666666666,0.7291666666666666
2,288,25,1126,4,0.55,0.6145833333333334,0.7469135802469136,0.5625,"{""LDA"": 0.3549304155234537, ""RF"": 0.30931208885656675, ""SVM"": 0.33575749561997953}",0.6493055555555556,0.6319444444444444,0.5451388888888888
3,288,25,1126,4,0.55,0.7673611111111112,0.8170731707317073,0.8541666666666666,"{""LDA"": 0.33125935260297706, ""RF"": 0.3343309443175553, ""SVM"": 0.33440970307946755}",0.7638888888888888,0.7673611111111112,0.7638888888888888
4,288,25,1126,4,0.55,0.4027777777777778,0.5454545454545454,0.1527777777777778,"{""LDA"": 0.31407462527904756, ""RF"": 0.3169979802274902, ""SVM"": 0.3689273944934623}",0.3576388888888889,0.4131944444444444,0.3576388888888889
5,288,25,1126,4,0.55,0.4166666666666667,0.5961538461538461,0.18055555555555555,"{""LDA"": 0.36356433551658573, ""RF"": 0.29701035284174937, ""SVM"": 0.3394253116416649}",0.4166666666666667,0.3958333333333333,0.3506944444444444
6,286,25,1126,4,0.55,0.42657342657342656,0.575,0.27972027972027974,"{""LDA"": 0.3592121617745483, ""RF"": 0.29840328903336844, ""SVM"": 0.3423845491920834}",0.45454545454545453,0.43356643356643354,0.3811188811188811
7,288,25,1126,4,0.55,0.7222222222222222,0.7833333333333333,0.8333333333333334,"{""LDA"": 0.3441700531416067, ""RF"": 0.3164909488760692, ""SVM"": 0.339338997982324}",0.7326388888888888,0.7152777777777778,0.6770833333333334
8,279,25,1126,4,0.55,0.7455197132616488,0.8008658008658008,0.8279569892473119,"{""LDA"": 0.3387694588584137, ""RF"": 0.32077094143810225, ""SVM"": 0.34045959970348405}",0.7419354838709677,0.7562724014336918,0.6917562724014337
9,272,25,1126,4,0.55,0.5661764705882353,0.60625,0.5882352941176471,"{""LDA"": 0.35828102366006764, ""RF"": 0.30983421857395776, ""SVM"": 0.33188475776597454}",0.5992647058823529,0.5367647058823529,0.5220588235294118
