subject,n_trials,n_channels,n_timepoints,n_classes,weights,best_single_acc,LDA_oof_acc,SVM_oof_acc,threshold,ensemble_acc_all,ensemble_acc_confident,ensemble_coverage,delta_all_vs_best,delta_conf_vs_best
1,288,22,1126,4,{},0.7533575317604356,0.6979166666666666,0.6736111111111112,0.6,0.7048611111111112,0.7798165137614679,0.7569444444444444,-0.04849642064932447,0.02645898200103225
2,288,22,1126,4,{},0.6181488203266788,0.5208333333333334,0.5451388888888888,0.6,0.5381944444444444,0.7894736842105263,0.3298611111111111,-0.07995437588223442,0.1713248638838475
3,288,22,1126,4,{},0.8017543859649123,0.71875,0.6597222222222222,0.6,0.7395833333333334,0.8232758620689655,0.8055555555555556,-0.06217105263157896,0.021521476104053194
4,288,22,1126,4,{},0.5418027828191166,0.5416666666666666,0.3993055555555556,0.6,0.5208333333333334,0.6666666666666666,0.14583333333333334,-0.020969449485783276,0.12486388384754998
5,288,22,1126,4,{},0.4162734422262553,0.4166666666666667,0.3125,0.6,0.4097222222222222,0.0,0.003472222222222222,-0.006551220004033076,-0.4162734422262553
6,288,22,1126,4,{},0.482335148215366,0.4826388888888889,0.4131944444444444,0.6,0.4756944444444444,0.5,0.06944444444444445,-0.006640703770921574,0.017664851784634006
7,288,22,1126,4,{},0.7782214156079854,0.7569444444444444,0.6388888888888888,0.6,0.7534722222222222,0.7769516728624535,0.9340277777777778,-0.024749193385763202,-0.0012697427455319321
8,288,22,1126,4,{},0.7464004839685421,0.7465277777777778,0.6423611111111112,0.6,0.7638888888888888,0.8204081632653061,0.8506944444444444,0.017488404920346756,0.074007679296764
9,277,22,1126,4,{},0.5453896103896103,0.5451263537906137,0.4981949458483754,0.6,0.5776173285198556,0.6105263157894737,0.34296028880866425,0.032227718130245275,0.06513670539986338
