subject,n_trials,n_channels,n_timepoints,n_classes,weights,LDA_oof_acc,SVM_oof_acc,threshold,ensemble_acc_all,ensemble_acc_confident,ensemble_coverage
1,288,25,1126,4,"{""LDA"": 0.4965628790942175, ""SVM"": 0.5034371209057824}",0.7430555555555556,0.75,0.55,0.7465277777777778,0.7903225806451613,0.8611111111111112
2,288,25,1126,4,"{""LDA"": 0.5138795826553078, ""SVM"": 0.4861204173446923}",0.6493055555555556,0.6354166666666666,0.55,0.6423611111111112,0.7341772151898734,0.5486111111111112
3,288,25,1126,4,"{""LDA"": 0.49763369616658776, ""SVM"": 0.5023663038334122}",0.7638888888888888,0.7743055555555556,0.55,0.7673611111111112,0.8055555555555556,0.875
4,288,25,1126,4,"{""LDA"": 0.45984435797665374, ""SVM"": 0.5401556420233463}",0.3576388888888889,0.4166666666666667,0.55,0.3923611111111111,0.5,0.13194444444444445
5,288,25,1126,4,"{""LDA"": 0.5171688331204448, ""SVM"": 0.48283116687955513}",0.4166666666666667,0.3888888888888889,0.55,0.4270833333333333,0.6486486486486487,0.1284722222222222
6,286,25,1126,4,"{""LDA"": 0.5119923684927774, ""SVM"": 0.48800763150722265}",0.45454545454545453,0.44405594405594406,0.55,0.46153846153846156,0.5662650602409639,0.2902097902097902
7,288,25,1126,4,"{""LDA"": 0.5035340096457676, ""SVM"": 0.4964659903542325}",0.7326388888888888,0.7118055555555556,0.55,0.7291666666666666,0.775,0.8333333333333334
8,279,25,1126,4,"{""LDA"": 0.4987558388265596, ""SVM"": 0.5012441611734404}",0.7419354838709677,0.7562724014336918,0.55,0.7419354838709677,0.8076923076923077,0.8387096774193549
9,272,25,1126,4,"{""LDA"": 0.5191231343283582, ""SVM"": 0.48087686567164173}",0.5992647058823529,0.5477941176470589,0.55,0.5919117647058824,0.6196319018404908,0.5992647058823529
