model,mean_acc,sd_acc
LDA,0.6022158583501596,0.1343291129759063
SVM,0.38921691201183034,0.08419845422022833
RF,0.6115171156731954,0.16199933278423148
Best-Single,0.628121618920167,0.15032003399979357
