dataset,ablation,setting,mean_selective_accuracy,mean_ece,mean_brier
BCI_IV_2a,model,deep_ensemble_validation_weighted,0.8323699421965318,0.09298880390464064,0.3497653990209758
BCI_IV_2a,model,eegnet_calibrated,0.5722543352601156,0.07529894842207285,0.5531060013775618
BCI_IV_2a,model,eegnet_uncalibrated,0.5722543352601156,0.0723163636292965,0.5517984312571086
BCI_IV_2a,model,spatial_calibrated,0.8728323699421965,0.04508932973683799,0.31344211089484797
BCI_IV_2a,model,spatial_uncalibrated,0.8670520231213873,0.049057549064660026,0.31548733212406105
BCI_IV_2a,model,v1_lda,0.8439306358381503,0.17615118161241516,0.4091934881538396
