metric,n,mean,sd,ci_low_95,ci_high_95,t_stat,p_value
ensemble_acc_all,9,0.6409850358782369,0.15340801234764467,0.5230651989291968,0.7589048728272769,,
ensemble_acc_confident,9,0.775869062706344,0.11302330463637812,0.688991660084368,0.8627464653283201,,
ensemble_coverage,9,0.527669140259393,0.24734921842638657,0.3375397000824711,0.717798580436315,,
best_single_acc,9,0.6281216189201669,0.15032003399979357,0.512575412250982,0.7436678255893518,,
delta_all_vs_best,9,0.012863416958069855,0.02049949091964065,-0.0028938866520206753,0.028620720568160386,,
delta_conf_vs_best,9,0.1477474437861771,0.056462723393301835,0.10434635257622943,0.19114853499612477,,
paired_ttest_all_vs_best,9,,,,,1.8824980105840619,0.09653387793916891
paired_ttest_confident_vs_best,9,,,,,7.850176270652809,5.0021529041316534e-05
