subject,n_trials,n_channels,n_timepoints,n_classes,weights,best_single_acc,LDA_oof_acc,SVM_oof_acc,RF_oof_acc,threshold,ensemble_acc_all,ensemble_acc_confident,ensemble_coverage,delta_all_vs_best,delta_conf_vs_best
1,288,22,1126,4,"{""LDA"": 0.3504878276861694, ""RF"": 0.3971197905302204, ""SVM"": 0.25239238178361023}",0.7707199032062917,0.6805555555555556,0.8090277777777778,0.7673611111111112,0.6,0.7430555555555556,0.8620689655172413,0.7048611111111112,-0.02766434765073611,0.09134906231094964
2,288,22,1126,4,"{""LDA"": 0.3423993591027438, ""RF"": 0.3815341478069297, ""SVM"": 0.2760664930903264}",0.5762250453720508,0.5173611111111112,0.5902777777777778,0.6076388888888888,0.6,0.5659722222222222,0.7878787878787878,0.4583333333333333,-0.01025282314982856,0.21165374250673707
3,288,22,1126,4,"{""LDA"": 0.3698266822919879, ""RF"": 0.4016221550607537, ""SVM"": 0.22855116264725836}",0.7878402903811252,0.7256944444444444,0.8298611111111112,0.8055555555555556,0.6,0.8125,0.897196261682243,0.7430555555555556,0.02465970961887476,0.10935597130111774
4,288,22,1126,4,"{""LDA"": 0.40049634763064235, ""RF"": 0.3385933695448585, ""SVM"": 0.26091028282449896}",0.5174228675136116,0.5173611111111112,0.5486111111111112,0.4965277777777778,0.6,0.53125,0.7578947368421053,0.3298611111111111,0.01382713248638845,0.24047186932849374
5,288,22,1126,4,"{""LDA"": 0.3655600747499176, ""RF"": 0.36281191601626916, ""SVM"": 0.2716280092338133}",0.4023593466424682,0.4027777777777778,0.4131944444444444,0.3854166666666667,0.6,0.40625,0.5769230769230769,0.09027777777777778,0.0038906533575318036,0.17456373028060868
6,288,22,1126,4,"{""LDA"": 0.38031235210601044, ""RF"": 0.3586370089919545, ""SVM"": 0.26105063890203506}",0.4861464004839685,0.4861111111111111,0.4895833333333333,0.4618055555555556,0.6,0.5104166666666666,0.6382978723404256,0.3263888888888889,0.02427026618269812,0.15215147185645705
7,288,22,1126,4,"{""LDA"": 0.3750591296121097, ""RF"": 0.385406811731315, ""SVM"": 0.23953405865657523}",0.7886267392619479,0.7673611111111112,0.7986111111111112,0.7777777777777778,0.6,0.8159722222222222,0.8558951965065502,0.7951388888888888,0.02734548296027428,0.06726845724460229
8,288,22,1126,4,"{""LDA"": 0.3947911455727864, ""RF"": 0.38403576788394195, ""SVM"": 0.2211730865432716}",0.7638838475499092,0.7638888888888888,0.8125,0.7534722222222222,0.6,0.7986111111111112,0.8844444444444445,0.78125,0.034727263561201926,0.12056059689453524
9,277,22,1126,4,"{""LDA"": 0.4111195880221247, ""RF"": 0.39795918367346944, ""SVM"": 0.19092122830440583}",0.5598701298701297,0.5595667870036101,0.6028880866425993,0.5234657039711191,0.6,0.5848375451263538,0.7222222222222222,0.51985559566787,0.024967415256224035,0.16235209235209247
