ensemble_name,threshold,metric,n,mean,sd,ci_low_95,ci_high_95
LDA_only,0.6,ensemble_acc_all,10,0.6222222222222221,0.17213259316477408,0.49908598295611967,0.7453584614883245
LDA_only,0.6,ensemble_acc_confident,10,0.6112962949321428,0.1842401244501461,0.47949884954657956,0.743093740317706
LDA_only,0.6,ensemble_coverage,10,0.9400000000000001,0.02781479015632384,0.9201024977730573,0.9598975022269428
LDA_SVM_equal,0.6,ensemble_acc_all,10,0.6044444444444445,0.18198720164831925,0.4742586429438267,0.7346302459450622
LDA_SVM_equal,0.6,ensemble_acc_confident,10,0.6188844902066981,0.19278418693461374,0.48097499071767513,0.7567939896957211
LDA_SVM_equal,0.6,ensemble_coverage,10,0.8577777777777778,0.0712036435004321,0.8068417596682119,0.9087137958873436
LDA_SVM_subject,0.6,ensemble_acc_all,10,0.6088888888888888,0.1799862820561474,0.4801344590368586,0.737643318740919
LDA_SVM_subject,0.6,ensemble_acc_confident,10,0.6162094648536542,0.194549898478819,0.47703685141750063,0.7553820782898079
LDA_SVM_subject,0.6,ensemble_coverage,10,0.8644444444444443,0.06410724895827793,0.8185848811782264,0.9103040077106623
LDA_SVM_RF_equal,0.6,ensemble_acc_all,10,0.6111111111111109,0.17785492153396995,0.4838813647277712,0.7383408574944507
LDA_SVM_RF_equal,0.6,ensemble_acc_confident,10,0.6116519020818023,0.20111719884412985,0.46778132497562386,0.7555224791879808
LDA_SVM_RF_equal,0.6,ensemble_coverage,10,0.8177777777777777,0.09416443604190045,0.7504165981567069,0.8851389573988485
