dataset,subject,decoder,n_trials,accuracy_all,mean_confidence,ece,brier
Cho2017,1,LDA,70,0.5571428571428572,0.5955102006822953,0.05534914597972908,0.4768943740498862
Cho2017,1,ensemble,70,0.6571428571428571,0.5911986100514185,0.06594424709143838,0.4471732912050552
PhysionetMI,1,LDA,15,0.7333333333333333,0.5980397158925986,0.1352936174407347,0.4465126379731367
PhysionetMI,1,ensemble,15,0.8,0.5971465975273755,0.20285340247262443,0.3431143330490856
