subject,threshold,ensemble_acc_all,ensemble_acc_confident,ensemble_coverage
1,0.55,0.7673611111111112,0.8136363636363636,0.7638888888888888
1,0.6,0.7673611111111112,0.8457142857142858,0.6076388888888888
1,0.65,0.7673611111111112,0.8652482269503546,0.4895833333333333
1,0.7,0.7673611111111112,0.908256880733945,0.3784722222222222
1,0.75,0.7673611111111112,0.9358974358974359,0.2708333333333333
1,0.8,0.7673611111111112,0.9166666666666666,0.16666666666666666
1,0.85,0.7673611111111112,1.0,0.06597222222222222
1,0.9,0.7673611111111112,1.0,0.006944444444444444
1,0.95,0.7673611111111112,,0.0
1,1.0,0.7673611111111112,,0.0
2,0.55,0.6076388888888888,0.8571428571428571,0.3645833333333333
2,0.6,0.6076388888888888,0.8902439024390244,0.2847222222222222
2,0.65,0.6076388888888888,0.9166666666666666,0.20833333333333334
2,0.7,0.6076388888888888,0.9183673469387755,0.1701388888888889
2,0.75,0.6076388888888888,0.9210526315789473,0.13194444444444445
2,0.8,0.6076388888888888,0.9473684210526315,0.06597222222222222
2,0.85,0.6076388888888888,1.0,0.013888888888888888
2,0.9,0.6076388888888888,,0.0
2,0.95,0.6076388888888888,,0.0
2,1.0,0.6076388888888888,,0.0
3,0.55,0.8055555555555556,0.8649789029535865,0.8229166666666666
3,0.6,0.8055555555555556,0.8868778280542986,0.7673611111111112
3,0.65,0.8055555555555556,0.9195979899497487,0.6909722222222222
3,0.7,0.8055555555555556,0.953757225433526,0.6006944444444444
3,0.75,0.8055555555555556,0.959731543624161,0.5173611111111112
3,0.8,0.8055555555555556,0.9682539682539683,0.4375
3,0.85,0.8055555555555556,0.9879518072289156,0.2881944444444444
3,0.9,0.8055555555555556,0.9642857142857143,0.09722222222222222
3,0.95,0.8055555555555556,,0.0
3,1.0,0.8055555555555556,,0.0
4,0.55,0.4965277777777778,0.7692307692307693,0.04513888888888889
4,0.6,0.4965277777777778,1.0,0.013888888888888888
4,0.65,0.4965277777777778,1.0,0.003472222222222222
4,0.7,0.4965277777777778,,0.0
4,0.75,0.4965277777777778,,0.0
4,0.8,0.4965277777777778,,0.0
4,0.85,0.4965277777777778,,0.0
4,0.9,0.4965277777777778,,0.0
4,0.95,0.4965277777777778,,0.0
4,1.0,0.4965277777777778,,0.0
5,0.55,0.3854166666666667,1.0,0.010416666666666666
5,0.6,0.3854166666666667,,0.0
5,0.65,0.3854166666666667,,0.0
5,0.7,0.3854166666666667,,0.0
5,0.75,0.3854166666666667,,0.0
5,0.8,0.3854166666666667,,0.0
5,0.85,0.3854166666666667,,0.0
5,0.9,0.3854166666666667,,0.0
5,0.95,0.3854166666666667,,0.0
5,1.0,0.3854166666666667,,0.0
6,0.55,0.4618055555555556,0.6774193548387096,0.1076388888888889
6,0.6,0.4618055555555556,0.7142857142857143,0.04861111111111111
6,0.65,0.4618055555555556,0.6666666666666666,0.010416666666666666
6,0.7,0.4618055555555556,,0.0
6,0.75,0.4618055555555556,,0.0
6,0.8,0.4618055555555556,,0.0
6,0.85,0.4618055555555556,,0.0
6,0.9,0.4618055555555556,,0.0
6,0.95,0.4618055555555556,,0.0
6,1.0,0.4618055555555556,,0.0
7,0.55,0.7777777777777778,0.8240343347639485,0.8090277777777778
7,0.6,0.7777777777777778,0.8484848484848485,0.6875
7,0.65,0.7777777777777778,0.8491620111731844,0.6215277777777778
7,0.7,0.7777777777777778,0.8741721854304636,0.5243055555555556
7,0.75,0.7777777777777778,0.9344262295081968,0.4236111111111111
7,0.8,0.7777777777777778,0.963855421686747,0.2881944444444444
7,0.85,0.7777777777777778,0.9787234042553191,0.16319444444444445
7,0.9,0.7777777777777778,0.9230769230769231,0.04513888888888889
7,0.95,0.7777777777777778,,0.0
7,1.0,0.7777777777777778,,0.0
8,0.55,0.7534722222222222,0.8549222797927462,0.6701388888888888
8,0.6,0.7534722222222222,0.8802395209580839,0.5798611111111112
8,0.65,0.7534722222222222,0.8993288590604027,0.5173611111111112
8,0.7,0.7534722222222222,0.940677966101695,0.4097222222222222
8,0.75,0.7534722222222222,0.9381443298969072,0.3368055555555556
8,0.8,0.7534722222222222,0.9420289855072463,0.23958333333333334
8,0.85,0.7534722222222222,0.9512195121951219,0.1423611111111111
8,0.9,0.7534722222222222,0.9444444444444444,0.0625
8,0.95,0.7534722222222222,,0.0
8,1.0,0.7534722222222222,,0.0
9,0.55,0.5234657039711191,0.7375,0.2888086642599278
9,0.6,0.5234657039711191,0.7636363636363637,0.19855595667870035
9,0.65,0.5234657039711191,0.8571428571428571,0.1263537906137184
9,0.7,0.5234657039711191,0.95,0.07220216606498195
9,0.75,0.5234657039711191,0.9285714285714286,0.05054151624548736
9,0.8,0.5234657039711191,1.0,0.007220216606498195
9,0.85,0.5234657039711191,,0.0
9,0.9,0.5234657039711191,,0.0
9,0.95,0.5234657039711191,,0.0
9,1.0,0.5234657039711191,,0.0
