subject,n_trials,n_channels,n_timepoints,n_classes,weights,best_single_acc,RF_oof_acc,threshold,ensemble_acc_all,ensemble_acc_confident,ensemble_coverage,delta_all_vs_best,delta_conf_vs_best
1,288,22,1126,4,"{""RF"": 1.0}",0.7707199032062917,0.7673611111111112,0.6,0.7673611111111112,0.8457142857142858,0.6076388888888888,-0.0033587920951805295,0.07499438250799406
2,288,22,1126,4,"{""RF"": 1.0}",0.5762250453720508,0.6076388888888888,0.6,0.6076388888888888,0.8902439024390244,0.2847222222222222,0.03141384351683807,0.31401885706697363
3,288,22,1126,4,"{""RF"": 1.0}",0.7878402903811252,0.8055555555555556,0.6,0.8055555555555556,0.8868778280542986,0.7673611111111112,0.01771526517443034,0.09903753767317336
4,288,22,1126,4,"{""RF"": 1.0}",0.5174228675136116,0.4965277777777778,0.6,0.4965277777777778,1.0,0.013888888888888888,-0.02089508973583376,0.48257713248638845
5,288,22,1126,4,"{""RF"": 1.0}",0.4023593466424682,0.3854166666666667,0.6,0.3854166666666667,,0.0,-0.01694267997580151,
6,288,22,1126,4,"{""RF"": 1.0}",0.4861464004839685,0.4618055555555556,0.6,0.4618055555555556,0.7142857142857143,0.04861111111111111,-0.02434084492841293,0.2281393138017458
7,288,22,1126,4,"{""RF"": 1.0}",0.7886267392619479,0.7777777777777778,0.6,0.7777777777777778,0.8484848484848485,0.6875,-0.010848961484170139,0.05985810922290058
8,288,22,1126,4,"{""RF"": 1.0}",0.7638838475499092,0.7534722222222222,0.6,0.7534722222222222,0.8802395209580839,0.5798611111111112,-0.010411625327687024,0.11635567340817465
9,277,22,1126,4,"{""RF"": 1.0}",0.5598701298701297,0.5234657039711191,0.6,0.5234657039711191,0.7636363636363637,0.19855595667870035,-0.036404425899010606,0.20376623376623393
