run,bin,bin_lower,bin_upper,count,confidence,accuracy,gap,dataset,subject,decoder
local_iiia_lda_full,7,0.7000000000000001,0.8,0,,,,BCI_IV_2a,6,v1_lda
local_iiia_lda_full,8,0.8,0.9,0,,,,BCI_IV_2a,6,v1_lda
local_iiia_lda_full,9,0.9,1.0,0,,,,BCI_IV_2a,6,v1_lda
local_iiia_lda_full,0,0.0,0.1,0,,,,BCI_IV_2a,7,v1_lda
local_iiia_lda_full,1,0.1,0.2,0,,,,BCI_IV_2a,7,v1_lda
local_iiia_lda_full,2,0.2,0.3,0,,,,BCI_IV_2a,7,v1_lda
local_iiia_lda_full,3,0.3,0.4,152,0.3731486091368339,0.1842105263157894,0.1889380828210444,BCI_IV_2a,7,v1_lda
local_iiia_lda_full,4,0.4,0.5,105,0.441970177004135,0.4666666666666667,0.0246964896625316,BCI_IV_2a,7,v1_lda
local_iiia_lda_full,5,0.5,0.6000000000000001,31,0.5343046091705274,0.967741935483871,0.4334373263133436,BCI_IV_2a,7,v1_lda
local_iiia_lda_full,6,0.6000000000000001,0.7000000000000001,0,,,,BCI_IV_2a,7,v1_lda
local_iiia_lda_full,7,0.7000000000000001,0.8,0,,,,BCI_IV_2a,7,v1_lda
local_iiia_lda_full,8,0.8,0.9,0,,,,BCI_IV_2a,7,v1_lda
local_iiia_lda_full,9,0.9,1.0,0,,,,BCI_IV_2a,7,v1_lda
local_iiia_lda_full,0,0.0,0.1,0,,,,BCI_IV_2a,8,v1_lda
local_iiia_lda_full,1,0.1,0.2,0,,,,BCI_IV_2a,8,v1_lda
local_iiia_lda_full,2,0.2,0.3,11,0.2904904418274358,0.2727272727272727,0.017763169100163,BCI_IV_2a,8,v1_lda
local_iiia_lda_full,3,0.3,0.4,118,0.3607180761939632,0.5169491525423728,0.1562310763484096,BCI_IV_2a,8,v1_lda
local_iiia_lda_full,4,0.4,0.5,122,0.4376957257660707,0.6885245901639344,0.2508288643978637,BCI_IV_2a,8,v1_lda
local_iiia_lda_full,5,0.5,0.6000000000000001,24,0.5485231874290811,0.75,0.2014768125709188,BCI_IV_2a,8,v1_lda
local_iiia_lda_full,6,0.6000000000000001,0.7000000000000001,12,0.6289495345505006,0.8333333333333334,0.2043837987828327,BCI_IV_2a,8,v1_lda
local_iiia_lda_full,7,0.7000000000000001,0.8,1,0.7326725071487242,1.0,0.2673274928512757,BCI_IV_2a,8,v1_lda
local_iiia_lda_full,8,0.8,0.9,0,,,,BCI_IV_2a,8,v1_lda
local_iiia_lda_full,9,0.9,1.0,0,,,,BCI_IV_2a,8,v1_lda
local_iiia_lda_full,0,0.0,0.1,0,,,,BCI_IV_2a,9,v1_lda
local_iiia_lda_full,1,0.1,0.2,0,,,,BCI_IV_2a,9,v1_lda
local_iiia_lda_full,2,0.2,0.3,0,,,,BCI_IV_2a,9,v1_lda
local_iiia_lda_full,3,0.3,0.4,214,0.3557907932865549,0.3411214953271028,0.0146692979594521,BCI_IV_2a,9,v1_lda
local_iiia_lda_full,4,0.4,0.5,50,0.4229252233996357,0.56,0.1370747766003643,BCI_IV_2a,9,v1_lda
local_iiia_lda_full,5,0.5,0.6000000000000001,0,,,,BCI_IV_2a,9,v1_lda
local_iiia_lda_full,6,0.6000000000000001,0.7000000000000001,0,,,,BCI_IV_2a,9,v1_lda
local_iiia_lda_full,7,0.7000000000000001,0.8,0,,,,BCI_IV_2a,9,v1_lda
local_iiia_lda_full,8,0.8,0.9,0,,,,BCI_IV_2a,9,v1_lda
local_iiia_lda_full,9,0.9,1.0,0,,,,BCI_IV_2a,9,v1_lda
local_iiia_lda_full,0,0.0,0.1,0,,,,BCI_IIIa,k3b,v1_lda
local_iiia_lda_full,1,0.1,0.2,0,,,,BCI_IIIa,k3b,v1_lda
local_iiia_lda_full,2,0.2,0.3,0,,,,BCI_IIIa,k3b,v1_lda
local_iiia_lda_full,3,0.3,0.4,3,0.3129605958826412,0.0,0.3129605958826412,BCI_IIIa,k3b,v1_lda
local_iiia_lda_full,4,0.4,0.5,7,0.4766560810449072,0.5714285714285714,0.0947724903836641,BCI_IIIa,k3b,v1_lda
local_iiia_lda_full,5,0.5,0.6000000000000001,12,0.5486089349376505,0.75,0.2013910650623495,BCI_IIIa,k3b,v1_lda
local_iiia_lda_full,6,0.6000000000000001,0.7000000000000001,25,0.646612648971027,1.0,0.353387351028973,BCI_IIIa,k3b,v1_lda
local_iiia_lda_full,7,0.7000000000000001,0.8,15,0.7460673670584613,1.0,0.2539326329415386,BCI_IIIa,k3b,v1_lda
local_iiia_lda_full,8,0.8,0.9,1,0.8025904913502214,1.0,0.1974095086497785,BCI_IIIa,k3b,v1_lda
local_iiia_lda_full,9,0.9,1.0,0,,,,BCI_IIIa,k3b,v1_lda
