dataset,model,label,n_subjects,accuracy_all_mean,accuracy_all_sem,selective_accuracy_mean,selective_accuracy_sem,ece_mean,ece_sem,brier_mean,brier_sem
BCI_IIIa,v1_lda,v1 LDA,3,0.6587301587301587,0.104990131391452,0.7348178137651821,0.12147997992407898,0.20430084967845177,0.03363800134900886,0.4996735370509093,0.10597717505833767
BCI_IV_2a,v1_lda,v1 LDA,9,0.4348695286195286,0.06983403639827339,0.4921333155600796,0.0791062751262358,0.17603861484821265,0.029236919111675988,0.6722904484563914,0.0632697216840069
BNCI2014_001,v1_lda,v1 LDA,5,0.6499999999999999,0.052272803518218926,0.6919540229885058,0.0766245209770067,0.1015215958183848,0.01967180303336306,0.4445908859693857,0.027193341643593775
Cho2017,v1_lda,v1 LDA,5,0.64,0.0540974177964614,0.7238095238095239,0.06632565846278152,0.0582774085987211,0.013447416451878967,0.4170773244336624,0.03994882310314181
PhysionetMI,v1_lda,v1 LDA,5,0.5599999999999999,0.09092121131323903,0.6,0.11439589045541111,0.20306116383238462,0.039520686099884975,0.46988184436116975,0.04361086772031581
