run,dataset,subject,split,model,use_ea,calibrated,uncertainty_score,coverage_target,score_cutoff,n_trials,accuracy_all,macro_f1,brier,ece,selective_accuracy,selective_risk,coverage_observed
calibration_ablation_per_model_temp_s2_e10,BCI_IV_2a,2,A0xT_to_A0xE,deep_ensemble_validation_weighted,True,False,max-prob,0.6,0.3501032374973284,288,0.5520833333333334,0.5286397373262156,0.5942257404020854,0.1314360976899252,0.6416184971098265,0.3583815028901734,0.6006944444444444
calibration_ablation_no_temp_s2_e10,BCI_IV_2a,1,A0xT_to_A0xE,v1_lda,True,True,max-prob,0.6,0.5210926359441823,288,0.7256944444444444,0.7237543832633633,0.4091934887442534,0.1761511823526346,0.8439306358381503,0.1560693641618497,0.6006944444444444
calibration_ablation_no_temp_s2_e10,BCI_IV_2a,1,A0xT_to_A0xE,eegnet_uncalibrated,True,False,max-prob,0.6,0.4036849834805389,288,0.46875,0.4162535795798524,0.5942997169611053,0.069988368301103,0.5028901734104047,0.4971098265895953,0.6006944444444444
calibration_ablation_no_temp_s2_e10,BCI_IV_2a,1,A0xT_to_A0xE,spatial_uncalibrated,True,False,max-prob,0.6,0.592385024582769,288,0.7048611111111112,0.688361256941307,0.448673947027127,0.1366453744214741,0.7456647398843931,0.2543352601156069,0.6006944444444444
calibration_ablation_no_temp_s2_e10,BCI_IV_2a,1,A0xT_to_A0xE,deep_ensemble_validation_weighted,True,False,max-prob,0.6,0.518111002312442,288,0.6840277777777778,0.66414285945006,0.4705725523716288,0.1630119770486994,0.7225433526011561,0.2774566473988439,0.6006944444444444
calibration_ablation_no_temp_s2_e10,BCI_IV_2a,2,A0xT_to_A0xE,v1_lda,True,True,max-prob,0.6,0.5384421341504679,288,0.25,0.1,0.8471197530537729,0.3232658928739998,0.3468208092485549,0.653179190751445,0.6006944444444444
calibration_ablation_no_temp_s2_e10,BCI_IV_2a,2,A0xT_to_A0xE,eegnet_uncalibrated,True,False,max-prob,0.6,0.2769212413406928,288,0.3923611111111111,0.3917895064382052,0.7216261172268617,0.1069306728300163,0.4797687861271676,0.5202312138728324,0.6006944444444444
calibration_ablation_no_temp_s2_e10,BCI_IV_2a,2,A0xT_to_A0xE,spatial_uncalibrated,True,False,max-prob,0.6,0.4618189738378006,288,0.5590277777777778,0.5344799617560354,0.5671868219689199,0.0559412118775903,0.6358381502890174,0.3641618497109826,0.6006944444444444
calibration_ablation_no_temp_s2_e10,BCI_IV_2a,2,A0xT_to_A0xE,deep_ensemble_validation_weighted,True,False,max-prob,0.6,0.3697528195874304,288,0.5486111111111112,0.5237291647047745,0.586469277314849,0.1109087838499748,0.6416184971098265,0.3583815028901734,0.6006944444444444
moabb_smoke_3datasets_lda,BCI_IV_2a,1,A0xT_to_A0xE,v1_lda,True,True,max-prob,0.6,0.5210926359441823,288,0.7256944444444444,0.7237543832633633,0.4091934887442534,0.1761511823526346,0.8439306358381503,0.1560693641618497,0.6006944444444444
moabb_smoke_3datasets_lda,BCI_IV_2a,2,A0xT_to_A0xE,v1_lda,True,True,max-prob,0.6,0.5384421341504679,288,0.25,0.1,0.8471197530537729,0.3232658928739998,0.3468208092485549,0.653179190751445,0.6006944444444444
moabb_smoke_3datasets_lda,BCI_IV_2a,3,A0xT_to_A0xE,v1_lda,True,True,max-prob,0.6,0.561546792123562,288,0.7638888888888888,0.7643295108035939,0.3728527866072106,0.1590975697526097,0.8901734104046243,0.1098265895953757,0.6006944444444444
moabb_smoke_3datasets_lda,BCI_IV_2a,4,A0xT_to_A0xE,v1_lda,True,True,max-prob,0.6,0.3431588691591489,288,0.25,0.1,0.7596510240534082,0.1112183392174765,0.3236994219653179,0.676300578034682,0.6006944444444444
moabb_smoke_3datasets_lda,BCI_IV_2a,5,A0xT_to_A0xE,v1_lda,True,True,max-prob,0.6,0.432595368114175,288,0.3055555555555556,0.2072640278381905,0.8768984671065428,0.1320728989709032,0.3063583815028902,0.6936416184971098,0.6006944444444444
moabb_smoke_3datasets_lda,BCI_IV_2a,6,A0xT_to_A0xE,v1_lda,True,True,max-prob,0.6,0.5319579924554659,288,0.25,0.1,0.8584633216808971,0.292135895923152,0.3236994219653179,0.676300578034682,0.6006944444444444
moabb_smoke_3datasets_lda,BCI_IV_2a,7,A0xT_to_A0xE,v1_lda,True,True,max-prob,0.6,0.3867032795702469,288,0.3715277777777778,0.2912243191591017,0.616494081391787,0.1553759622190216,0.5144508670520231,0.4855491329479768,0.6006944444444444
