subject,n_trials,n_channels,n_timepoints,n_classes,weights,best_single_acc,LDA_oof_acc,SVM_oof_acc,RF_oof_acc,threshold,ensemble_acc_all,ensemble_acc_confident,ensemble_coverage,delta_all_vs_best,delta_conf_vs_best
1,288,22,1126,4,"{""LDA"": 0.3482165435277155, ""RF"": 0.31642578811824384, ""SVM"": 0.3353576683540406}",0.7566848154869934,0.7430555555555556,0.7465277777777778,0.7395833333333334,0.6,0.75,0.8035714285714286,0.7777777777777778,-0.006684815486993401,0.0468866130844352
2,288,22,1126,4,"{""LDA"": 0.3482165435277155, ""RF"": 0.31642578811824384, ""SVM"": 0.3353576683540406}",0.6215366001209921,0.6215277777777778,0.5555555555555556,0.5833333333333334,0.6,0.6145833333333334,0.875,0.3055555555555556,-0.0069532667876587295,0.2534633998790079
3,288,22,1126,4,"{""LDA"": 0.3482165435277155, ""RF"": 0.31642578811824384, ""SVM"": 0.3353576683540406}",0.7671506352087113,0.7638888888888888,0.7465277777777778,0.7916666666666666,0.6,0.7708333333333334,0.8565022421524664,0.7743055555555556,0.0036826981246220747,0.0893516069437551
4,288,22,1126,4,"{""LDA"": 0.3482165435277155, ""RF"": 0.31642578811824384, ""SVM"": 0.3353576683540406}",0.3989110707803992,0.3993055555555556,0.4027777777777778,0.40625,0.6,0.4166666666666667,,0.0,0.01775559588626746,
5,288,22,1126,4,"{""LDA"": 0.3482165435277155, ""RF"": 0.31642578811824384, ""SVM"": 0.3353576683540406}",0.3819721718088324,0.3819444444444444,0.3680555555555556,0.3298611111111111,0.6,0.3680555555555556,,0.0,-0.013916616253276837,
6,288,22,1126,4,"{""LDA"": 0.3482165435277155, ""RF"": 0.31642578811824384, ""SVM"": 0.3353576683540406}",0.4409558378705384,0.4409722222222222,0.3784722222222222,0.3784722222222222,0.6,0.4340277777777778,0.5714285714285714,0.024305555555555556,-0.006928060092760591,0.13047273355803302
7,288,22,1126,4,"{""LDA"": 0.3482165435277155, ""RF"": 0.31642578811824384, ""SVM"": 0.3353576683540406}",0.743254688445251,0.7430555555555556,0.7222222222222222,0.7118055555555556,0.6,0.7395833333333334,0.7960199004975125,0.6979166666666666,-0.003671355111917629,0.05276521205226148
8,288,22,1126,4,"{""LDA"": 0.3482165435277155, ""RF"": 0.31642578811824384, ""SVM"": 0.3353576683540406}",0.7222625529340593,0.7222222222222222,0.7291666666666666,0.7395833333333334,0.6,0.7395833333333334,0.8763440860215054,0.6458333333333334,0.017320780399274094,0.1540815330874461
9,277,22,1126,4,"{""LDA"": 0.3482165435277155, ""RF"": 0.31642578811824384, ""SVM"": 0.3353576683540406}",0.5709090909090909,0.5703971119133574,0.5451263537906137,0.555956678700361,0.6,0.5595667870036101,0.7586206896551724,0.20938628158844766,-0.011342303905480855,0.18771159874608145
