subject,threshold,ensemble_acc_all,ensemble_acc_confident,ensemble_coverage,ensemble_name
1,0.0,0.7465277777777778,0.7465277777777778,1.0,LDA+SVM equal
1,0.55,0.7465277777777778,0.7877551020408163,0.8506944444444444,LDA+SVM equal
1,0.6,0.7465277777777778,0.7982062780269058,0.7743055555555556,LDA+SVM equal
1,0.65,0.7465277777777778,0.82,0.6944444444444444,LDA+SVM equal
1,0.7,0.7465277777777778,0.8465909090909091,0.6111111111111112,LDA+SVM equal
2,0.0,0.6493055555555556,0.6493055555555556,1.0,LDA+SVM equal
2,0.55,0.6493055555555556,0.7341772151898734,0.5486111111111112,LDA+SVM equal
2,0.6,0.6493055555555556,0.7664233576642335,0.4756944444444444,LDA+SVM equal
2,0.65,0.6493055555555556,0.8053097345132744,0.3923611111111111,LDA+SVM equal
2,0.7,0.6493055555555556,0.8172043010752689,0.3229166666666667,LDA+SVM equal
3,0.0,0.7638888888888888,0.7638888888888888,1.0,LDA+SVM equal
3,0.55,0.7638888888888888,0.8055555555555556,0.875,LDA+SVM equal
3,0.6,0.7638888888888888,0.8369098712446352,0.8090277777777778,LDA+SVM equal
3,0.65,0.7638888888888888,0.8644859813084113,0.7430555555555556,LDA+SVM equal
3,0.7,0.7638888888888888,0.8829787234042553,0.6527777777777778,LDA+SVM equal
4,0.0,0.3958333333333333,0.3958333333333333,1.0,LDA+SVM equal
4,0.55,0.3958333333333333,0.4871794871794871,0.1354166666666666,LDA+SVM equal
4,0.6,0.3958333333333333,0.5384615384615384,0.0451388888888888,LDA+SVM equal
4,0.65,0.3958333333333333,1.0,0.0138888888888888,LDA+SVM equal
4,0.7,0.3958333333333333,,0.0,LDA+SVM equal
5,0.0,0.4097222222222222,0.4097222222222222,1.0,LDA+SVM equal
5,0.55,0.4097222222222222,0.6944444444444444,0.125,LDA+SVM equal
5,0.6,0.4097222222222222,0.64,0.0868055555555555,LDA+SVM equal
5,0.65,0.4097222222222222,0.8333333333333334,0.0416666666666666,LDA+SVM equal
5,0.7,0.4097222222222222,0.875,0.0277777777777777,LDA+SVM equal
6,0.0,0.4755244755244755,0.4755244755244755,1.0,LDA+SVM equal
6,0.55,0.4755244755244755,0.5679012345679012,0.2832167832167832,LDA+SVM equal
6,0.6,0.4755244755244755,0.5909090909090909,0.2307692307692307,LDA+SVM equal
6,0.65,0.4755244755244755,0.6129032258064516,0.1083916083916083,LDA+SVM equal
6,0.7,0.4755244755244755,0.7647058823529411,0.0594405594405594,LDA+SVM equal
7,0.0,0.7326388888888888,0.7326388888888888,1.0,LDA+SVM equal
7,0.55,0.7326388888888888,0.775,0.8333333333333334,LDA+SVM equal
7,0.6,0.7326388888888888,0.771689497716895,0.7604166666666666,LDA+SVM equal
7,0.65,0.7326388888888888,0.8131868131868132,0.6319444444444444,LDA+SVM equal
7,0.7,0.7326388888888888,0.8012820512820513,0.5416666666666666,LDA+SVM equal
8,0.0,0.7419354838709677,0.7419354838709677,1.0,LDA+SVM equal
8,0.55,0.7419354838709677,0.8034188034188035,0.8387096774193549,LDA+SVM equal
8,0.6,0.7419354838709677,0.8317757009345794,0.7670250896057348,LDA+SVM equal
8,0.65,0.7419354838709677,0.8549222797927462,0.6917562724014337,LDA+SVM equal
8,0.7,0.7419354838709677,0.8757062146892656,0.6344086021505376,LDA+SVM equal
9,0.0,0.5955882352941176,0.5955882352941176,1.0,LDA+SVM equal
9,0.55,0.5955882352941176,0.6211180124223602,0.5919117647058824,LDA+SVM equal
9,0.6,0.5955882352941176,0.6641221374045801,0.4816176470588235,LDA+SVM equal
9,0.65,0.5955882352941176,0.6759259259259259,0.3970588235294117,LDA+SVM equal
9,0.7,0.5955882352941176,0.6818181818181818,0.3235294117647059,LDA+SVM equal
