subject,threshold,ensemble_acc_all,ensemble_acc_confident,ensemble_coverage,ensemble_name
1,0.0,0.7534722222222222,0.7534722222222222,1.0,All 3 global
1,0.55,0.7534722222222222,0.7926829268292683,0.8541666666666666,All 3 global
1,0.6,0.7534722222222222,0.8169642857142857,0.7777777777777778,All 3 global
1,0.65,0.7534722222222222,0.8168316831683168,0.7013888888888888,All 3 global
1,0.7,0.7534722222222222,0.8313953488372093,0.5972222222222222,All 3 global
2,0.0,0.6111111111111112,0.6111111111111112,1.0,All 3 global
2,0.55,0.6111111111111112,0.7407407407407407,0.5625,All 3 global
2,0.6,0.6111111111111112,0.7703703703703704,0.46875,All 3 global
2,0.65,0.6111111111111112,0.8108108108108109,0.3854166666666667,All 3 global
2,0.7,0.6111111111111112,0.8461538461538461,0.3159722222222222,All 3 global
3,0.0,0.7673611111111112,0.7673611111111112,1.0,All 3 global
3,0.55,0.7673611111111112,0.8178137651821862,0.8576388888888888,All 3 global
3,0.6,0.7673611111111112,0.8495575221238938,0.7847222222222222,All 3 global
3,0.65,0.7673611111111112,0.8695652173913043,0.71875,All 3 global
3,0.7,0.7673611111111112,0.8918918918918919,0.6423611111111112,All 3 global
4,0.0,0.3993055555555556,0.3993055555555556,1.0,All 3 global
4,0.55,0.3993055555555556,0.52,0.1736111111111111,All 3 global
4,0.6,0.3993055555555556,0.48,0.0868055555555555,All 3 global
4,0.65,0.3993055555555556,0.4285714285714285,0.0243055555555555,All 3 global
4,0.7,0.3993055555555556,1.0,0.0069444444444444,All 3 global
5,0.0,0.4270833333333333,0.4270833333333333,1.0,All 3 global
5,0.55,0.4270833333333333,0.603448275862069,0.2013888888888889,All 3 global
5,0.6,0.4270833333333333,0.6333333333333333,0.1041666666666666,All 3 global
5,0.65,0.4270833333333333,0.7692307692307693,0.0451388888888888,All 3 global
5,0.7,0.4270833333333333,1.0,0.0208333333333333,All 3 global
6,0.0,0.4265734265734265,0.4265734265734265,1.0,All 3 global
6,0.55,0.4265734265734265,0.5844155844155844,0.2692307692307692,All 3 global
6,0.6,0.4265734265734265,0.6078431372549019,0.1783216783216783,All 3 global
6,0.65,0.4265734265734265,0.6086956521739131,0.0804195804195804,All 3 global
6,0.7,0.4265734265734265,0.5833333333333334,0.0419580419580419,All 3 global
7,0.0,0.71875,0.71875,1.0,All 3 global
7,0.55,0.71875,0.7824267782426778,0.8298611111111112,All 3 global
7,0.6,0.71875,0.7830188679245284,0.7361111111111112,All 3 global
7,0.65,0.71875,0.8022598870056498,0.6145833333333334,All 3 global
7,0.7,0.71875,0.8082191780821918,0.5069444444444444,All 3 global
8,0.0,0.7419354838709677,0.7419354838709677,1.0,All 3 global
8,0.55,0.7419354838709677,0.8017241379310345,0.8315412186379928,All 3 global
8,0.6,0.7419354838709677,0.8333333333333334,0.7526881720430108,All 3 global
8,0.65,0.7419354838709677,0.8473684210526315,0.6810035842293907,All 3 global
8,0.7,0.7419354838709677,0.8520710059171598,0.6057347670250897,All 3 global
9,0.0,0.5661764705882353,0.5661764705882353,1.0,All 3 global
9,0.55,0.5661764705882353,0.6024844720496895,0.5919117647058824,All 3 global
9,0.6,0.5661764705882353,0.6212121212121212,0.4852941176470588,All 3 global
9,0.65,0.5661764705882353,0.6538461538461539,0.3823529411764705,All 3 global
9,0.7,0.5661764705882353,0.6794871794871795,0.2867647058823529,All 3 global
