subject,n_trials,n_channels,n_timepoints,n_classes,weights,LDA_oof_acc,SVM_oof_acc,threshold,ensemble_acc_all,ensemble_acc_confident,ensemble_coverage
1,288,22,1126,4,"{""LDA"": 0.5, ""SVM"": 0.5}",0.7430555555555556,0.7569444444444444,0.75,0.75,0.8723404255319149,0.4895833333333333
2,288,22,1126,4,"{""LDA"": 0.5, ""SVM"": 0.5}",0.6215277777777778,0.6076388888888888,0.75,0.6041666666666666,0.868421052631579,0.2638888888888889
3,288,22,1126,4,"{""LDA"": 0.5, ""SVM"": 0.5}",0.7638888888888888,0.7743055555555556,0.75,0.7673611111111112,0.9151515151515152,0.5729166666666666
4,288,22,1126,4,"{""LDA"": 0.5, ""SVM"": 0.5}",0.3993055555555556,0.3472222222222222,0.75,0.4166666666666667,,0.0
5,288,22,1126,4,"{""LDA"": 0.5, ""SVM"": 0.5}",0.3819444444444444,0.3680555555555556,0.75,0.3888888888888889,,0.0
6,288,22,1126,4,"{""LDA"": 0.5, ""SVM"": 0.5}",0.4409722222222222,0.3993055555555556,0.75,0.4340277777777778,0.7142857142857143,0.024305555555555556
7,288,22,1126,4,"{""LDA"": 0.5, ""SVM"": 0.5}",0.7430555555555556,0.7256944444444444,0.75,0.7395833333333334,0.8235294117647058,0.4722222222222222
8,288,22,1126,4,"{""LDA"": 0.5, ""SVM"": 0.5}",0.7222222222222222,0.7083333333333334,0.75,0.7152777777777778,0.8848920863309353,0.4826388888888889
9,277,22,1126,4,"{""LDA"": 0.5, ""SVM"": 0.5}",0.5703971119133574,0.5379061371841155,0.75,0.5703971119133574,0.75,0.17328519855595667
