subject,n_trials,n_channels,n_timepoints,n_classes,weights,best_single_acc,LDA_oof_acc,threshold,ensemble_acc_all,ensemble_acc_confident,ensemble_coverage,delta_all_vs_best,delta_conf_vs_best
1,288,22,1126,4,"{""LDA"": 1.0}",0.7707199032062917,0.6805555555555556,0.6,0.6805555555555556,0.697841726618705,0.9652777777777778,-0.09016434765073611,-0.07287817658758666
2,288,22,1126,4,"{""LDA"": 1.0}",0.5762250453720508,0.5173611111111112,0.6,0.5173611111111112,0.5149253731343284,0.9305555555555556,-0.05886393426093961,-0.06129967223772237
3,288,22,1126,4,"{""LDA"": 1.0}",0.7878402903811252,0.7256944444444444,0.6,0.7256944444444444,0.7314487632508834,0.9826388888888888,-0.06214584593668082,-0.05639152713024187
4,288,22,1126,4,"{""LDA"": 1.0}",0.5174228675136116,0.5173611111111112,0.6,0.5173611111111112,0.5416666666666666,0.9166666666666666,-6.175640250039027e-05,0.02424379915305508
5,288,22,1126,4,"{""LDA"": 1.0}",0.4023593466424682,0.4027777777777778,0.6,0.4027777777777778,0.4065040650406504,0.8541666666666666,0.00041843113530959375,0.004144718398182201
6,288,22,1126,4,"{""LDA"": 1.0}",0.4861464004839685,0.4861111111111111,0.6,0.4861111111111111,0.5076335877862596,0.9097222222222222,-3.528937285740552e-05,0.021487187302291044
7,288,22,1126,4,"{""LDA"": 1.0}",0.7886267392619479,0.7673611111111112,0.6,0.7673611111111112,0.7714285714285715,0.9722222222222222,-0.02126562815083677,-0.017198167833376465
8,288,22,1126,4,"{""LDA"": 1.0}",0.7638838475499092,0.7638888888888888,0.6,0.7638888888888888,0.7769784172661871,0.9652777777777778,5.04133897960557e-06,0.01309456971627787
9,277,22,1126,4,"{""LDA"": 1.0}",0.5598701298701297,0.5595667870036101,0.6,0.5595667870036101,0.5843137254901961,0.9205776173285198,-0.00030334286651967357,0.024443595620066372
