metric,n,mean,sd,ci_low_95,ci_high_95,t_stat,p_value
ensemble_acc_all,9,0.602297544234969,0.1342900743262724,0.4990730553305493,0.7055220331393885,,
ensemble_acc_confident,9,0.6147489885202719,0.13344561730336119,0.5121736067447974,0.7173243702957465,,
ensemble_coverage,9,0.9352339327895886,0.040658356831211453,0.9039811531284618,0.9664867124507153,,
best_single_acc,9,0.6281216189201669,0.15032003399979357,0.512575412250982,0.7436678255893518,,
delta_all_vs_best,9,-0.025824074685197953,0.03519096499421418,-0.05287424495135894,0.0012260955809630276,,
delta_conf_vs_best,9,-0.013372630399894978,0.039954366755726965,-0.04408427538595172,0.017339014586161765,,
paired_ttest_all_vs_best,9,,,,,-2.201480524001863,0.058857862107908505
paired_ttest_confident_vs_best,9,,,,,-1.0040927802699946,0.34473422291523625
