subject,n_trials,n_channels,n_timepoints,n_classes,weights,best_single_acc,SVM_oof_acc,threshold,ensemble_acc_all,ensemble_acc_confident,ensemble_coverage,delta_all_vs_best,delta_conf_vs_best
1,288,22,1126,4,"{""SVM"": 1.0}",0.7707199032062917,0.8090277777777778,0.6,0.8090277777777778,0.8693693693693694,0.7708333333333334,0.0383078745714861,0.09864946616307768
2,288,22,1126,4,"{""SVM"": 1.0}",0.5762250453720508,0.5902777777777778,0.6,0.5902777777777778,0.85,0.20833333333333334,0.01405273240572702,0.2737749546279492
3,288,22,1126,4,"{""SVM"": 1.0}",0.7878402903811252,0.8298611111111112,0.6,0.8298611111111112,0.8835341365461847,0.8645833333333334,0.04202082072998592,0.09569384616505949
4,288,22,1126,4,"{""SVM"": 1.0}",0.5174228675136116,0.5486111111111112,0.6,0.5486111111111112,,0.0,0.03118824359749961,
5,288,22,1126,4,"{""SVM"": 1.0}",0.4023593466424682,0.4131944444444444,0.6,0.4131944444444444,,0.0,0.010835097801976223,
6,288,22,1126,4,"{""SVM"": 1.0}",0.4861464004839685,0.4895833333333333,0.6,0.4895833333333333,,0.0,0.0034369328493648044,
7,288,22,1126,4,"{""SVM"": 1.0}",0.7886267392619479,0.7986111111111112,0.6,0.7986111111111112,0.8666666666666667,0.78125,0.009984371849163232,0.07803992740471877
8,288,22,1126,4,"{""SVM"": 1.0}",0.7638838475499092,0.8125,0.6,0.8125,0.8986784140969163,0.7881944444444444,0.048616152450090766,0.13479456654700706
9,277,22,1126,4,"{""SVM"": 1.0}",0.5598701298701297,0.6028880866425993,0.6,0.6028880866425993,0.7142857142857143,0.07581227436823104,0.04301795677246956,0.15441558441558456
