subject,threshold,ensemble_acc_all,ensemble_acc_confident,ensemble_coverage
1,0.55,0.8090277777777778,0.8373015873015873,0.875
1,0.6,0.8090277777777778,0.8693693693693694,0.7708333333333334
1,0.65,0.8090277777777778,0.8793969849246231,0.6909722222222222
1,0.7,0.8090277777777778,0.8992805755395683,0.4826388888888889
1,0.75,0.8090277777777778,0.9310344827586207,0.2013888888888889
1,0.8,0.8090277777777778,1.0,0.03125
1,0.85,0.8090277777777778,,0.0
1,0.9,0.8090277777777778,,0.0
1,0.95,0.8090277777777778,,0.0
1,1.0,0.8090277777777778,,0.0
2,0.55,0.5902777777777778,0.8468468468468469,0.3854166666666667
2,0.6,0.5902777777777778,0.85,0.20833333333333334
2,0.65,0.5902777777777778,0.9444444444444444,0.0625
2,0.7,0.5902777777777778,,0.0
2,0.75,0.5902777777777778,,0.0
2,0.8,0.5902777777777778,,0.0
2,0.85,0.5902777777777778,,0.0
2,0.9,0.5902777777777778,,0.0
2,0.95,0.5902777777777778,,0.0
2,1.0,0.5902777777777778,,0.0
3,0.55,0.8298611111111112,0.8745247148288974,0.9131944444444444
3,0.6,0.8298611111111112,0.8835341365461847,0.8645833333333334
3,0.65,0.8298611111111112,0.8879668049792531,0.8368055555555556
3,0.7,0.8298611111111112,0.9004739336492891,0.7326388888888888
3,0.75,0.8298611111111112,0.9090909090909091,0.4583333333333333
3,0.8,0.8298611111111112,0.96,0.1736111111111111
3,0.85,0.8298611111111112,1.0,0.03125
3,0.9,0.8298611111111112,,0.0
3,0.95,0.8298611111111112,,0.0
3,1.0,0.8298611111111112,,0.0
4,0.55,0.5486111111111112,,0.0
4,0.6,0.5486111111111112,,0.0
4,0.65,0.5486111111111112,,0.0
4,0.7,0.5486111111111112,,0.0
4,0.75,0.5486111111111112,,0.0
4,0.8,0.5486111111111112,,0.0
4,0.85,0.5486111111111112,,0.0
4,0.9,0.5486111111111112,,0.0
4,0.95,0.5486111111111112,,0.0
4,1.0,0.5486111111111112,,0.0
5,0.55,0.4131944444444444,,0.0
5,0.6,0.4131944444444444,,0.0
5,0.65,0.4131944444444444,,0.0
5,0.7,0.4131944444444444,,0.0
5,0.75,0.4131944444444444,,0.0
5,0.8,0.4131944444444444,,0.0
5,0.85,0.4131944444444444,,0.0
5,0.9,0.4131944444444444,,0.0
5,0.95,0.4131944444444444,,0.0
5,1.0,0.4131944444444444,,0.0
6,0.55,0.4895833333333333,,0.0
6,0.6,0.4895833333333333,,0.0
6,0.65,0.4895833333333333,,0.0
6,0.7,0.4895833333333333,,0.0
6,0.75,0.4895833333333333,,0.0
6,0.8,0.4895833333333333,,0.0
6,0.85,0.4895833333333333,,0.0
6,0.9,0.4895833333333333,,0.0
6,0.95,0.4895833333333333,,0.0
6,1.0,0.4895833333333333,,0.0
7,0.55,0.7986111111111112,0.8293650793650794,0.875
7,0.6,0.7986111111111112,0.8666666666666667,0.78125
7,0.65,0.7986111111111112,0.8861386138613861,0.7013888888888888
7,0.7,0.7986111111111112,0.9172413793103448,0.5034722222222222
7,0.75,0.7986111111111112,0.9047619047619048,0.21875
7,0.8,0.7986111111111112,0.9230769230769231,0.04513888888888889
7,0.85,0.7986111111111112,,0.0
7,0.9,0.7986111111111112,,0.0
7,0.95,0.7986111111111112,,0.0
7,1.0,0.7986111111111112,,0.0
8,0.55,0.8125,0.8755020080321285,0.8645833333333334
8,0.6,0.8125,0.8986784140969163,0.7881944444444444
8,0.65,0.8125,0.905,0.6944444444444444
8,0.7,0.8125,0.9090909090909091,0.5729166666666666
8,0.75,0.8125,0.9435483870967742,0.4305555555555556
8,0.8,0.8125,0.9459459459459459,0.1284722222222222
8,0.85,0.8125,1.0,0.006944444444444444
8,0.9,0.8125,,0.0
8,0.95,0.8125,,0.0
8,1.0,0.8125,,0.0
9,0.55,0.6028880866425993,0.6752136752136753,0.4223826714801444
9,0.6,0.6028880866425993,0.7142857142857143,0.07581227436823104
9,0.65,0.6028880866425993,0.6666666666666666,0.010830324909747292
9,0.7,0.6028880866425993,,0.0
9,0.75,0.6028880866425993,,0.0
9,0.8,0.6028880866425993,,0.0
9,0.85,0.6028880866425993,,0.0
9,0.9,0.6028880866425993,,0.0
9,0.95,0.6028880866425993,,0.0
9,1.0,0.6028880866425993,,0.0
