metric,n,mean,sd,ci_low_95,ci_high_95,t_stat,p_value
ensemble_acc_all,9,0.628222913045416,0.13651655049489844,0.523287003057068,0.733158823033764,,
ensemble_acc_confident,9,0.7841926021976255,0.10184783551861583,0.7059054255751183,0.8624797788201328,,
ensemble_coverage,9,0.46433903819583716,0.2495766447030624,0.2724974466172896,0.6561806297743847,,
best_single_acc,9,0.6315204023643225,0.1426431620344658,0.5218751618609638,0.7411656428676812,,
delta_all_vs_best,9,-0.0032974893189064557,0.035322605965212694,-0.030448847792895722,0.023853869155082814,,
delta_conf_vs_best,9,0.1526721998333031,0.0606704615898226,0.10603675472967763,0.19930764493692857,,
paired_ttest_all_vs_best,9,,,,,-0.28006053592030894,0.7865363424887566
paired_ttest_confident_vs_best,9,,,,,7.549251934103317,6.612873789857888e-05
