subject,n_trials,n_channels,n_timepoints,n_classes,weights,best_single_acc,LDA_oof_acc,SVM_oof_acc,RF_oof_acc,threshold,ensemble_acc_all,ensemble_acc_confident,ensemble_coverage,delta_all_vs_best,delta_conf_vs_best
1,288,22,1126,4,"{""LDA"": 0.3740721330544989, ""RF"": 0.3827473578660967, ""SVM"": 0.24318050907940442}",0.7533575317604356,0.6979166666666666,0.6736111111111112,0.7673611111111112,0.6,0.7326388888888888,0.845,0.6944444444444444,-0.02071864287154679,0.09164246823956435
2,288,22,1126,4,"{""LDA"": 0.3740721330544989, ""RF"": 0.3827473578660967, ""SVM"": 0.24318050907940442}",0.6181488203266788,0.5208333333333334,0.5451388888888888,0.6041666666666666,0.6,0.5416666666666666,0.7803030303030303,0.4583333333333333,-0.07648215366001221,0.16215420997635144
3,288,22,1126,4,"{""LDA"": 0.3740721330544989, ""RF"": 0.3827473578660967, ""SVM"": 0.24318050907940442}",0.8017543859649123,0.71875,0.6597222222222222,0.7986111111111112,0.6,0.7708333333333334,0.900497512437811,0.6979166666666666,-0.03092105263157896,0.09874312647289862
4,288,22,1126,4,"{""LDA"": 0.3740721330544989, ""RF"": 0.3827473578660967, ""SVM"": 0.24318050907940442}",0.5418027828191166,0.5416666666666666,0.3993055555555556,0.4895833333333333,0.6,0.5347222222222222,0.7213114754098361,0.21180555555555555,-0.007080560596894436,0.17950869259071944
5,288,22,1126,4,"{""LDA"": 0.3740721330544989, ""RF"": 0.3827473578660967, ""SVM"": 0.24318050907940442}",0.4162734422262553,0.4166666666666667,0.3125,0.375,0.6,0.4340277777777778,0.6956521739130435,0.0798611111111111,0.017754335551522504,0.2793787316867882
6,288,22,1126,4,"{""LDA"": 0.3740721330544989, ""RF"": 0.3827473578660967, ""SVM"": 0.24318050907940442}",0.482335148215366,0.4826388888888889,0.4131944444444444,0.46875,0.6,0.5034722222222222,0.625,0.2222222222222222,0.021137074006856216,0.142664851784634
7,288,22,1126,4,"{""LDA"": 0.3740721330544989, ""RF"": 0.3827473578660967, ""SVM"": 0.24318050907940442}",0.7782214156079854,0.7569444444444444,0.6388888888888888,0.7708333333333334,0.6,0.78125,0.8584474885844748,0.7604166666666666,0.0030285843920145883,0.08022607297648943
8,288,22,1126,4,"{""LDA"": 0.3740721330544989, ""RF"": 0.3827473578660967, ""SVM"": 0.24318050907940442}",0.7464004839685421,0.7465277777777778,0.6423611111111112,0.7395833333333334,0.6,0.7777777777777778,0.9184782608695652,0.6388888888888888,0.03137729380923571,0.1720777769010231
9,277,22,1126,4,"{""LDA"": 0.3740721330544989, ""RF"": 0.3827473578660967, ""SVM"": 0.24318050907940442}",0.5453896103896103,0.5451263537906137,0.4981949458483754,0.5342960288808665,0.6,0.5776173285198556,0.7130434782608696,0.4151624548736462,0.032227718130245275,0.16765386787125924
