subject,n_trials,n_channels,n_timepoints,n_classes,weights,best_single_acc,LDA_oof_acc,SVM_oof_acc,threshold,ensemble_acc_all,ensemble_acc_confident,ensemble_coverage,delta_all_vs_best,delta_conf_vs_best
1,288,22,1126,4,"{""LDA"": 0.5813556693035521, ""SVM"": 0.4186443306964479}",0.7707199032062917,0.6805555555555556,0.8090277777777778,0.6,0.7083333333333334,0.7549407114624506,0.8784722222222222,-0.06238656987295832,-0.015779191743841126
2,288,22,1126,4,"{""LDA"": 0.5536269430051814, ""SVM"": 0.4463730569948186}",0.5762250453720508,0.5173611111111112,0.5902777777777778,0.6,0.5243055555555556,0.5777777777777777,0.78125,-0.05191948981649519,0.0015527324057269531
3,288,22,1126,4,"{""LDA"": 0.6180487553471112, ""SVM"": 0.3819512446528887}",0.7878402903811252,0.7256944444444444,0.8298611111111112,0.6,0.7465277777777778,0.7837837837837838,0.8993055555555556,-0.04131251260334745,-0.004056506597341469
4,288,22,1126,4,"{""LDA"": 0.6055221238938052, ""SVM"": 0.3944778761061947}",0.5174228675136116,0.5173611111111112,0.5486111111111112,0.6,0.5208333333333334,0.5944700460829493,0.7534722222222222,0.0034104658197218196,0.07704717856933774
5,288,22,1126,4,"{""LDA"": 0.5737082722332443, ""SVM"": 0.4262917277667558}",0.4023593466424682,0.4027777777777778,0.4131944444444444,0.6,0.40625,0.48333333333333334,0.625,0.0038906533575318036,0.08097398669086514
6,288,22,1126,4,"{""LDA"": 0.5929752066115702, ""SVM"": 0.40702479338842973}",0.4861464004839685,0.4861111111111111,0.4895833333333333,0.6,0.4895833333333333,0.5454545454545454,0.7256944444444444,0.0034369328493648044,0.059308144970576904
7,288,22,1126,4,"{""LDA"": 0.6102559168751202, ""SVM"": 0.38974408312487974}",0.7886267392619479,0.7673611111111112,0.7986111111111112,0.6,0.7777777777777778,0.7941176470588235,0.9444444444444444,-0.010848961484170139,0.005490907796875555
8,288,22,1126,4,"{""LDA"": 0.6409319323892189, ""SVM"": 0.3590680676107812}",0.7638838475499092,0.7638888888888888,0.8125,0.6,0.7673611111111112,0.816793893129771,0.9097222222222222,0.0034772635612019265,0.052910045579861786
9,277,22,1126,4,"{""LDA"": 0.6828766038333598, ""SVM"": 0.31712339616664026}",0.5598701298701297,0.5595667870036101,0.6028880866425993,0.6,0.5740072202166066,0.618421052631579,0.8231046931407943,0.01413709034647681,0.05855092276144924
